date,ethereum,isPartial
2021-10-01,60,False
2021-10-02,51,False
2021-10-03,51,False
2021-10-04,53,False
2021-10-05,56,False
2021-10-06,65,False
2021-10-07,60,False
2021-10-08,57,False
2021-10-09,53,False
2021-10-10,50,False
2021-10-11,53,False
2021-10-12,53,False
2021-10-13,48,False
2021-10-14,65,False
2021-10-15,78,False
2021-10-16,66,False
2021-10-17,55,False
2021-10-18,61,False
2021-10-19,59,False
2021-10-20,82,False
2021-10-21,97,False
2021-10-22,76,False
2021-10-23,65,False
2021-10-24,59,False
2021-10-25,67,False
2021-10-26,71,False
2021-10-27,68,False
2021-10-28,74,False
2021-10-29,90,False
2021-10-30,72,False
2021-10-31,72,False
2021-11-01,71,False
2021-11-02,82,False
2021-11-03,90,False
2021-11-04,78,False
2021-11-05,71,False
2021-11-06,63,False
2021-11-07,70,False
2021-11-08,100,False
2021-11-09,100,False
2021-11-10,90,False
2021-11-11,75,False
2021-11-12,80,False
2021-11-13,66,False
2021-11-14,66,False
2021-11-15,75,False
2021-11-16,89,False
2021-11-17,76,False
2021-11-18,80,False
2021-11-19,78,False
2021-11-20,67,False
2021-11-21,58,False
2021-11-22,62,False
2021-11-23,67,False
2021-11-24,63,False
2021-11-25,62,False
2021-11-26,70,False
2021-11-27,65,False
2021-11-28,62,False
2021-11-29,65,False
2021-11-30,79,False
2021-12-01,78,False
2021-12-02,64,False
2021-12-03,64,False
2021-12-04,93,False
2021-12-05,76,False
2021-12-06,71,False
2021-12-07,71,False
2021-12-08,59,False
2021-12-09,62,False
2021-12-10,63,False
2021-12-11,60,False
2021-12-12,51,False
2021-12-13,67,False
2021-12-14,72,False
2021-12-15,63,False
2021-12-16,58,False
2021-12-17,67,False
2021-12-18,55,False
2021-12-19,53,False
2021-12-20,62,False
2021-12-21,59,False
2021-12-22,54,False
2021-12-23,54,False
2021-12-24,56,False
2021-12-25,53,False
2021-12-26,52,False
2021-12-27,57,False
2021-12-28,56,False
2021-12-29,59,False
2021-12-30,57,False
2021-12-31,53,False
