date,ethereum,isPartial
2018-06-01,57,False
2018-06-02,49,False
2018-06-03,47,False
2018-06-04,48,False
2018-06-05,52,False
2018-06-06,44,False
2018-06-07,45,False
2018-06-08,43,False
2018-06-09,39,False
2018-06-10,46,False
2018-06-11,51,False
2018-06-12,68,False
2018-06-13,60,False
2018-06-14,58,False
2018-06-15,44,False
2018-06-16,43,False
2018-06-17,49,False
2018-06-18,48,False
2018-06-19,48,False
2018-06-20,38,False
2018-06-21,49,False
2018-06-22,45,False
2018-06-23,42,False
2018-06-24,38,False
2018-06-25,41,False
2018-06-26,42,False
2018-06-27,40,False
2018-06-28,35,False
2018-06-29,49,False
2018-06-30,41,False
2018-07-01,32,False
2018-07-02,40,False
2018-07-03,44,False
2018-07-04,46,False
2018-07-05,33,False
2018-07-06,39,False
2018-07-07,34,False
2018-07-08,39,False
2018-07-09,49,False
2018-07-10,47,False
2018-07-11,46,False
2018-07-12,39,False
2018-07-13,35,False
2018-07-14,31,False
2018-07-15,25,False
2018-07-16,42,False
2018-07-17,50,False
2018-07-18,45,False
2018-07-19,50,False
2018-07-20,33,False
2018-07-21,35,False
2018-07-22,38,False
2018-07-23,45,False
2018-07-24,47,False
2018-07-25,47,False
2018-07-26,36,False
2018-07-27,42,False
2018-07-28,37,False
2018-07-29,34,False
2018-07-30,45,False
2018-07-31,44,False
2018-08-01,42,False
2018-08-02,35,False
2018-08-03,43,False
2018-08-04,37,False
2018-08-05,42,False
2018-08-06,44,False
2018-08-07,55,False
2018-08-08,58,False
2018-08-09,49,False
2018-08-10,48,False
2018-08-11,58,False
2018-08-12,34,False
2018-08-13,76,False
2018-08-14,100,False
2018-08-15,61,False
2018-08-16,55,False
2018-08-17,61,False
2018-08-18,55,False
2018-08-19,41,False
2018-08-20,45,False
2018-08-21,52,False
2018-08-22,36,False
2018-08-23,40,False
2018-08-24,38,False
2018-08-25,34,False
2018-08-26,37,False
2018-08-27,40,False
2018-08-28,40,False
2018-08-29,39,False
2018-08-30,41,False
2018-08-31,37,False
2018-09-01,35,False
2018-09-02,36,False
2018-09-03,44,False
2018-09-04,41,False
2018-09-05,60,False
2018-09-06,61,False
2018-09-07,50,False
2018-09-08,53,False
2018-09-09,59,False
2018-09-10,56,False
2018-09-11,62,False
2018-09-12,72,False
2018-09-13,53,False
2018-09-14,52,False
2018-09-15,42,False
2018-09-16,35,False
2018-09-17,36,False
2018-09-18,42,False
2018-09-19,41,False
2018-09-20,40,False
2018-09-21,51,False
2018-09-22,36,False
2018-09-23,28,False
2018-09-24,47,False
2018-09-25,41,False
2018-09-26,38,False
2018-09-27,36,False
2018-09-28,28,False
2018-09-29,40,False
2018-09-30,31,False
2018-10-01,32,False
2018-10-02,31,False
2018-10-03,28,False
2018-10-04,29,False
2018-10-05,35,False
2018-10-06,24,False
2018-10-07,27,False
2018-10-08,39,False
2018-10-09,36,False
2018-10-10,33,False
2018-10-11,43,False
2018-10-12,28,False
2018-10-13,29,False
2018-10-14,29,False
2018-10-15,32,False
2018-10-16,32,False
2018-10-17,31,False
2018-10-18,33,False
2018-10-19,28,False
2018-10-20,28,False
2018-10-21,26,False
2018-10-22,28,False
2018-10-23,35,False
2018-10-24,27,False
2018-10-25,34,False
2018-10-26,29,False
2018-10-27,17,False
2018-10-28,32,False
2018-10-29,33,False
2018-10-30,28,False
2018-10-31,27,False
2018-11-01,31,False
2018-11-02,35,False
2018-11-03,37,False
2018-11-04,27,False
2018-11-05,36,False
2018-11-06,34,False
2018-11-07,31,False
2018-11-08,34,False
2018-11-09,36,False
2018-11-10,27,False
2018-11-11,29,False
2018-11-12,29,False
2018-11-13,32,False
2018-11-14,44,False
2018-11-15,43,False
2018-11-16,31,False
2018-11-17,26,False
2018-11-18,24,False
2018-11-19,47,False
2018-11-20,49,False
2018-11-21,34,False
2018-11-22,31,False
2018-11-23,39,False
2018-11-24,32,False
2018-11-25,45,False
2018-11-26,38,False
2018-11-27,44,False
2018-11-28,39,False
2018-11-29,31,False
2018-11-30,24,False
2018-12-01,23,False
2018-12-02,30,False
2018-12-03,32,False
2018-12-04,30,False
2018-12-05,33,False
2018-12-06,43,False
2018-12-07,62,False
2018-12-08,41,False
2018-12-09,32,False
2018-12-10,36,False
2018-12-11,34,False
2018-12-12,32,False
2018-12-13,34,False
2018-12-14,29,False
2018-12-15,27,False
2018-12-16,22,False
2018-12-17,36,False
2018-12-18,33,False
2018-12-19,40,False
2018-12-20,38,False
2018-12-21,29,False
2018-12-22,28,False
2018-12-23,48,False
2018-12-24,61,False
2018-12-25,42,False
2018-12-26,31,False
2018-12-27,38,False
2018-12-28,32,False
2018-12-29,34,False
2018-12-30,34,False
2018-12-31,28,False
