date,ethereum,isPartial
2019-01-01,32,False
2019-01-02,53,False
2019-01-03,57,False
2019-01-04,55,False
2019-01-05,50,False
2019-01-06,44,False
2019-01-07,46,False
2019-01-08,57,False
2019-01-09,49,False
2019-01-10,53,False
2019-01-11,40,False
2019-01-12,35,False
2019-01-13,46,False
2019-01-14,49,False
2019-01-15,56,False
2019-01-16,45,False
2019-01-17,36,False
2019-01-18,36,False
2019-01-19,31,False
2019-01-20,22,False
2019-01-21,28,False
2019-01-22,30,False
2019-01-23,27,False
2019-01-24,27,False
2019-01-25,28,False
2019-01-26,29,False
2019-01-27,27,False
2019-01-28,34,False
2019-01-29,35,False
2019-01-30,24,False
2019-01-31,29,False
2019-02-01,26,False
2019-02-02,27,False
2019-02-03,27,False
2019-02-04,25,False
2019-02-05,31,False
2019-02-06,30,False
2019-02-07,30,False
2019-02-08,26,False
2019-02-09,44,False
2019-02-10,29,False
2019-02-11,30,False
2019-02-12,36,False
2019-02-13,29,False
2019-02-14,26,False
2019-02-15,28,False
2019-02-16,28,False
2019-02-17,36,False
2019-02-18,64,False
2019-02-19,50,False
2019-02-20,38,False
2019-02-21,40,False
2019-02-22,37,False
2019-02-23,45,False
2019-02-24,53,False
2019-02-25,38,False
2019-02-26,34,False
2019-02-27,47,False
2019-02-28,55,False
2019-03-01,39,False
2019-03-02,36,False
2019-03-03,29,False
2019-03-04,23,False
2019-03-05,33,False
2019-03-06,27,False
2019-03-07,28,False
2019-03-08,27,False
2019-03-09,28,False
2019-03-10,22,False
2019-03-11,27,False
2019-03-12,33,False
2019-03-13,27,False
2019-03-14,22,False
2019-03-15,20,False
2019-03-16,30,False
2019-03-17,29,False
2019-03-18,32,False
2019-03-19,30,False
2019-03-20,32,False
2019-03-21,32,False
2019-03-22,30,False
2019-03-23,28,False
2019-03-24,29,False
2019-03-25,27,False
2019-03-26,34,False
2019-03-27,28,False
2019-03-28,29,False
2019-03-29,30,False
2019-03-30,24,False
2019-03-31,25,False
2019-04-01,33,False
2019-04-02,49,False
2019-04-03,53,False
2019-04-04,45,False
2019-04-05,40,False
2019-04-06,33,False
2019-04-07,45,False
2019-04-08,54,False
2019-04-09,37,False
2019-04-10,33,False
2019-04-11,33,False
2019-04-12,34,False
2019-04-13,30,False
2019-04-14,26,False
2019-04-15,33,False
2019-04-16,36,False
2019-04-17,28,False
2019-04-18,31,False
2019-04-19,34,False
2019-04-20,30,False
2019-04-21,33,False
2019-04-22,31,False
2019-04-23,38,False
2019-04-24,38,False
2019-04-25,26,False
2019-04-26,30,False
2019-04-27,22,False
2019-04-28,24,False
2019-04-29,31,False
2019-04-30,54,False
2019-05-01,25,False
2019-05-02,27,False
2019-05-03,36,False
2019-05-04,34,False
2019-05-05,26,False
2019-05-06,40,False
2019-05-07,43,False
2019-05-08,31,False
2019-05-09,42,False
2019-05-10,31,False
2019-05-11,47,False
2019-05-12,60,False
2019-05-13,54,False
2019-05-14,78,False
2019-05-15,80,False
2019-05-16,100,False
2019-05-17,74,False
2019-05-18,44,False
2019-05-19,59,False
2019-05-20,49,False
2019-05-21,48,False
2019-05-22,38,False
2019-05-23,43,False
2019-05-24,44,False
2019-05-25,36,False
2019-05-26,35,False
2019-05-27,50,False
2019-05-28,58,False
2019-05-29,52,False
2019-05-30,63,False
2019-05-31,43,False
