date,bitcoin
2021-12-21,48
2021-12-22,44
2021-12-23,46
2021-12-24,48
2021-12-25,42
2021-12-26,41
2021-12-27,45
2021-12-28,45
2021-12-29,46
2021-12-30,43
2021-12-31,41
