time,asset,AdrActCnt,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
2012-02-10 00:00:00+00:00,btc,16819,49358488.2260604115622279985632,9.46440517520953,57.77823299,5.93783415546464,8312540.72339413,8496,854274.796460325026756883056,36.1140030925045
2012-02-11 00:00:00+00:00,btc,14944,46693173.2952981165486068603208,10.2873969295756,48.63226403,5.61213285330216,8320040.61839413,7447,960127.4837563060203227192832,36.0988617554174
2012-02-12 00:00:00+00:00,btc,14056,45962713.3373782322514627327776,10.8360580991529,71.64723965,5.51909716949152,8327940.58989413,6790,641514.0843324529686873592384,36.0789499002598
2012-02-13 00:00:00+00:00,btc,16556,44577415.1775776582959938566839,9.39582252901235,26.82211826,5.34835455932203,8334790.57589413,8028,1661964.7543054558703599392629,36.0917024277578
2012-02-14 00:00:00+00:00,btc,18756,37401255.0827969568595104124373,9.46440517520953,17.25411942,4.48365409175921,8341690.57589413,9476,2167671.0450968852314778974114,36.1956699583835
2012-02-15 00:00:00+00:00,btc,18243,36111133.058548435295564183203,9.19007459042084,9.34357546,4.3255203220339,8348390.56808977,9392,3864808.84110655482129987797,36.3214755192064
2012-02-16 00:00:00+00:00,btc,17722,35553758.0945588610056316009792,9.46440517520953,19.50261823,4.25523904500292,8355290.43575376,9040,1823024.871990683226637948878,36.4540491237104
2012-02-17 00:00:00+00:00,btc,14218,36725954.1755716949994294939136,10.4245622219699,33.94853004,4.39153837288136,8362890.41725376,6532,1081812.7951862263345984296936,36.5179919595409
2012-02-18 00:00:00+00:00,btc,14337,35746730.9923883839098420015168,11.7103384053747,31.9651278,4.27008127761543,8371440.41725376,6283,1118304.0221855774139616049604,36.5413363497714
2012-02-19 00:00:00+00:00,btc,13197,36781545.9474073876160604580032,10.8097843789034,68.82225472,4.38955145821157,8379340.41725376,5764,534442.6174254383759946437601,36.5224562460175
2012-02-20 00:00:00+00:00,btc,14828,36607515.9514103972548238790336,9.57828995599037,54.93899012,4.36513593892461,8386340.41725376,6430,666330.3397022616329388591228,36.5157591597368
2012-02-21 00:00:00+00:00,btc,14362,36215860.8736998584843976366464,8.82571003087685,47.06704858,4.31511560198714,8392790.41725376,6091,769452.5569254225307258739526,36.4998820007875
2012-02-22 00:00:00+00:00,btc,16120,37125478.5490161979309943572864,10.8782007357319,43.27892736,4.41931028755114,8400740.41725376,6992,857818.8234466548166672652558,36.5114264921749
2012-02-23 00:00:00+00:00,btc,18129,42377486.3111246144616161766336,11.3571152335314,41.7529636,5.03951511805961,8409040.41725376,8044,1014957.5660551021727489108558,36.5098402205369
2012-02-24 00:00:00+00:00,btc,16256,42297987.9602571529961493825792,10.1940371674469,39.16826248,5.02560875891292,8416490.41725376,6744,1079904.6290067485878301840904,36.5096311806318
2012-02-25 00:00:00+00:00,btc,14844,40207641.3093143647875857970496,11.2886988767029,45.77823915,4.77256738106371,8424740.41725376,6029,878313.4094555082473973551821,36.4925431125832
2012-02-26 00:00:00+00:00,btc,13193,41540764.984809741428071423488,10.2624535242754,72.85523012,4.9264208515488,8432240.41075376,5600,570182.3316731379045592056,36.4726832443483
2012-02-27 00:00:00+00:00,btc,15336,41798937.8663465141802324760912,10.5361189515894,53.33326162,4.95251575628287,8439940.41075376,6752,783731.1388103425940141143016,36.4544378828488
2012-02-28 00:00:00+00:00,btc,16054,41033824.2476843687341479225984,10.9466170925604,56.5779613,4.85725777556984,8447940.41075376,6473,725261.626660842862913944588,36.4409386431784
2012-02-29 00:00:00+00:00,btc,15562,41208302.2260782840522474410592,12.246527872302,51.44148477,4.87274875569842,8456890.41075376,6632,801071.4000041663180067345926,36.3124335750395
