time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
2021-01-01 00:00:00+00:00,btc,1001890,3.145922773591,546120334521.126110751109364234,137764026.733551449125853441822306987573316,75.406404222341,29380.6937327878,18587727.69247703,261318,7242360117.19707607475865172,11.390438352234
2021-01-02 00:00:00+00:00,btc,1140633,3.36183826,595259096891.809040983449185127,139613208.60028526,49.98816687,32022.6810578609,18588671.44247703,297595,11908000116.450002676471161043,11.385749623563266
2021-01-03 00:00:00+00:00,btc,1184688,3.43360474,618623608665.447476163866202144,146085344.09831175,74.18323339,33277.8353050848,18589658.94247703,359641,8339129751.902980012176918528,11.390510445633483
2021-01-04 00:00:00+00:00,btc,1270082,3.2392637,591225447115.905726233414699134,159954206.027731482583992964579016162463342,58.16138312,31802.1467136178,18590740.19247703,370865,10165257692.451129209678126442,11.409751269080616
2021-01-05 00:00:00+00:00,btc,1230529,3.40781574,632363459585.743011660389602838,145160753.608748370619429078420084587426684,62.99039722,34013.1741724138,18591721.44241151,355008,10039045434.256739314907435124,11.417235665174731
2021-01-06 00:00:00+00:00,btc,1344921,3.60095708,681302148777.478154369881686746,163652569.02152643,56.48855598,36643.2777223846,18592827.69241151,398455,12060888031.85568048715064672,11.428124548184917
2021-01-07 00:00:00+00:00,btc,1292297,3.742047073313,729171021092.374255481806167876,155331252.396438772161801885223716974890026,48.301860938739,39215.6511490356,18593877.69238421,402123,15096126876.2951625895817154,11.445024739128
2021-01-08 00:00:00+00:00,btc,1237271,3.78863874,758210602558.811174255643385572,136839436.2439882,48.6073758,40775.4045634132,18594802.69238421,358440,15598673865.863039725740857364,11.437939233961636
2021-01-09 00:00:00+00:00,btc,1094947,3.6883279,750719944876.220938993117024472,134307072.19635198,79.88580707,40370.6823495032,18595671.44238421,318922,9397413287.403552983329369272,11.428179908376565
2021-01-10 00:00:00+00:00,btc,1177151,3.47615243,712797906122.693299151203190753,162879650.92477036,87.10192511,38329.3401665693,18596665.19238421,332604,8183491986.519399663457770999,11.43454525389485
2021-01-11 00:00:00+00:00,btc,1211948,3.17723254,655929285013.387809300339736469,157757649.32336253,54.22000853,35269.5137177089,18597627.69238421,333441,12097550383.256975620624868675,11.4549299747583
2021-01-12 00:00:00+00:00,btc,1202314,3.024579234512,627003122628.91361296492239804,151611247.729481136121225611494754763502772,53.994079197115,33712.4685452952,18598552.69235145,336350,11612442177.964092686128340136,11.462190146801
2021-01-13 00:00:00+00:00,btc,1163164,3.31893271605,693697236158.013835612589779175,155708849.338415536817576001913262127005544,66.685390117563,37296.5475277615,18599502.69235145,320071,10402536971.517406073570074445,11.445958589877
2021-01-14 00:00:00+00:00,btc,1167975,3.43968572,726263096560.8241151091442708,150586847.08139154,51.93213049,39045.518340152,18600421.44232415,338553,13984850799.82799856360295872,11.411450785686649
