time,asset,AdrActCnt,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
2009-01-03 00:00:00+00:00,btc,0,,,,,0,0,,
2009-01-04 00:00:00+00:00,btc,0,,,,,0,0,,
2009-01-05 00:00:00+00:00,btc,0,,,,,0,0,,
2009-01-06 00:00:00+00:00,btc,0,,,,,0,0,,
2009-01-07 00:00:00+00:00,btc,0,,,,,0,0,,
2009-01-08 00:00:00+00:00,btc,0,,,,,0,0,,
2009-01-09 00:00:00+00:00,btc,19,,0.000000944495122962963,,,950,0,,0
2009-01-10 00:00:00+00:00,btc,61,,0.00000303232644740741,,,4000,0,,0
2009-01-11 00:00:00+00:00,btc,95,,0.00000462305507555556,865,,8650,1,,0.00115606936416185
2009-01-12 00:00:00+00:00,btc,101,,0.00000467276534518519,556.25,,13350,6,,0.00254681647940075
2009-01-13 00:00:00+00:00,btc,123,,0.00000611436316444444,,,19500,0,,0.00174358974358974
2009-01-14 00:00:00+00:00,btc,133,,0.00000641262478222222,425.40983607,,25950,1,,0.00366088631984586
2009-01-15 00:00:00+00:00,btc,140,,0.00000626349397333333,91.88034188,,32250,8,,0.0138914728682171
2009-01-16 00:00:00+00:00,btc,114,,0.00000536870912,188.25,,37650,2,,0.0172111553784861
2009-01-17 00:00:00+00:00,btc,109,,0.00000541841938962963,,,43100,0,,0.0150348027842227
2009-01-18 00:00:00+00:00,btc,111,,0.00000531899885037037,323,,48450,1,,0.0164705882352941
2009-01-19 00:00:00+00:00,btc,133,,0.00000571668100740741,69.93548387,,54200,2,,0.0290221402214022
2009-01-20 00:00:00+00:00,btc,123,,0.00000566697073777778,149.75,,59900,1,,0.0329382303839733
2009-01-21 00:00:00+00:00,btc,116,,0.00000507044750222222,108.33333333,,65000,2,,0.0395846153846154
2009-01-22 00:00:00+00:00,btc,95,,0.0000045236345362963,463.66666667,,69550,1,,0.0391516894320633
2009-01-23 00:00:00+00:00,btc,91,,0.00000417566264888889,245.83333333,,73750,1,,0.0409898305084746
2009-01-24 00:00:00+00:00,btc,212,,0.00000999176419555555,167.6,,83800,1,,0.0420405727923628
2009-01-25 00:00:00+00:00,btc,193,,0.00000949466149925926,1867,,93350,1,,0.0382753079807177
2009-01-26 00:00:00+00:00,btc,117,,0.00000477218588444444,98.15,,98150,1,,0.0465919510952624
2009-01-27 00:00:00+00:00,btc,101,,0.00000482189615407407,686.66666667,,103000,1,,0.0458543689320388
2009-01-28 00:00:00+00:00,btc,112,,0.00000556755019851852,,,108600,0,,0.0434898710865562
2009-01-29 00:00:00+00:00,btc,134,,0.00000601494262518518,191.08333333,,114650,1,,0.0464282599215002
2009-01-30 00:00:00+00:00,btc,117,,0.00000581610154666667,,,120500,0,,0.0441742738589212
2009-01-31 00:00:00+00:00,btc,159,,0.00000686001720888889,127.4,,127400,1,,0.0496310832025118
2009-02-01 00:00:00+00:00,btc,116,,0.00000561726046814815,1330.5,,133050,1,,0.0482750845546787
2009-02-02 00:00:00+00:00,btc,130,,0.00000636291451259259,2789,,139450,1,,0.0464180709931875
2009-02-03 00:00:00+00:00,btc,154,,0.00000690972747851852,2757.06214689,,146400,16,,0.0449187158469945
2009-02-04 00:00:00+00:00,btc,119,,0.00000591552208592593,,,152350,0,,0.0431644240236298
2009-02-05 00:00:00+00:00,btc,126,,0.00000626349397333333,,,158650,0,,0.0414503624330287
2009-02-06 00:00:00+00:00,btc,122,,0.00000606465289481481,,,164750,0,,0.0399156297420334
2009-02-07 00:00:00+00:00,btc,156,,0.00000641262478222222,148.86956522,,171200,4,,0.0451290887850467
2009-02-08 00:00:00+00:00,btc,134,,0.00000656175559111111,177.8,,177800,1,,0.049078177727784
2009-02-09 00:00:00+00:00,btc,179,,0.00000666117613037037,83.86363636,,184500,1,,0.059220054200542
2009-02-10 00:00:00+00:00,btc,120,,0.00000596523235555556,,,190500,0,,0.0573548556430446
2009-02-11 00:00:00+00:00,btc,148,,0.00000661146586074074,358.42847793,,197150,2,,0.0582101952827796
2009-02-12 00:00:00+00:00,btc,119,,0.00000591552208592593,,,203100,0,,0.0565048744460857
2009-02-13 00:00:00+00:00,btc,124,,0.00000616407343407407,,,209300,0,,0.0548310559006211
2009-02-14 00:00:00+00:00,btc,136,,0.00000676059666962963,,,216100,0,,0.0531056918093475
2009-02-15 00:00:00+00:00,btc,142,,0.00000636291451259259,404.54545455,,222500,3,,0.0556231011235955
2009-02-16 00:00:00+00:00,btc,153,,0.00000606465289481481,152.4,,228600,1,,0.0607005249343832
2009-02-17 00:00:00+00:00,btc,117,,0.00000581610154666667,,,234450,0,,0.0591859245041587
2009-02-18 00:00:00+00:00,btc,118,,0.0000058658118162963,,,240350,0,,0.0577330559600582
2009-02-19 00:00:00+00:00,btc,141,,0.00000616407343407407,308.1875,,246550,1,,0.0595260190630704
2009-02-20 00:00:00+00:00,btc,122,,0.00000606465289481481,,,252650,0,,0.0580888185236493
2009-02-21 00:00:00+00:00,btc,114,,0.00000566697073777778,,,258350,0,,0.0568071995355138
2009-02-22 00:00:00+00:00,btc,133,,0.00000601494262518518,661,,264400,4,,0.0594785930408472
2009-02-23 00:00:00+00:00,btc,108,,0.00000536870912,,,269800,0,,0.0582881393624907
2009-02-24 00:00:00+00:00,btc,106,,0.00000526928858074074,,,275100,0,,0.0571651762995274
2009-02-25 00:00:00+00:00,btc,105,,0.00000521957831111111,,,280350,0,,0.0560946673800606
2009-02-26 00:00:00+00:00,btc,107,,0.00000531899885037037,,,285700,0,,0.0550442422121106
2009-02-27 00:00:00+00:00,btc,152,,0.00000571668100740741,161.91666667,,291450,1,,0.0601342940470063
2009-02-28 00:00:00+00:00,btc,107,,0.00000492131669333333,846.85714286,,296400,1,,0.0603108636977058
2009-03-01 00:00:00+00:00,btc,105,,0.00000521957831111111,,,301650,0,,0.0592611967512017
2009-03-02 00:00:00+00:00,btc,108,,0.00000536870912,,,307050,0,,0.0582189871356457
2009-03-03 00:00:00+00:00,btc,114,,0.00000521957831111111,780.75,,312300,2,,0.0585211015049632
2009-03-04 00:00:00+00:00,btc,130,,0.00000516986804148148,264.51059292,,317500,2,,0.0613432125984252
2009-03-05 00:00:00+00:00,btc,121,,0.00000556755019851852,807.75,,323100,1,,0.0615180129990715
2009-03-06 00:00:00+00:00,btc,117,,0.00000581610154666667,,,328950,0,,0.0604239854081167
2009-03-07 00:00:00+00:00,btc,109,,0.00000541841938962963,,,334400,0,,0.0594392045454546
2009-03-08 00:00:00+00:00,btc,142,,0.00000571668100740741,283.45833333,,340150,3,,0.0629912391591945
2009-03-09 00:00:00+00:00,btc,108,,0.00000536870912,,,345550,0,,0.0620068586311677
2009-03-10 00:00:00+00:00,btc,107,,0.00000531899885037037,,,350900,0,,0.0610614705044172
2009-03-11 00:00:00+00:00,btc,114,,0.00000566697073777778,,,356600,0,,0.0600854458777342
2009-03-12 00:00:00+00:00,btc,122,,0.0000058658118162963,2416.66666667,,362500,1,,0.0595212965517241
2009-03-13 00:00:00+00:00,btc,127,,0.00000561726046814815,490.86666667,,368150,1,,0.0606450359907646
2009-03-14 00:00:00+00:00,btc,110,,0.00000546812965925926,,,373650,0,,0.0597523618359427
2009-03-15 00:00:00+00:00,btc,123,,0.00000611436316444444,,,379800,0,,0.0587848077935756
2009-03-16 00:00:00+00:00,btc,170,,0.00000601494262518518,160.77083333,,385850,1,,0.0640831152002073
2009-03-17 00:00:00+00:00,btc,114,,0.00000566697073777778,,,391550,0,,0.0631502234708211
2009-03-18 00:00:00+00:00,btc,129,,0.00000566697073777778,567.5,,397250,2,,0.0640062177470107
2009-03-19 00:00:00+00:00,btc,122,,0.00000606465289481481,,,403350,0,,0.0630382298252138
2009-03-20 00:00:00+00:00,btc,131,,0.0000058658118162963,682.08333333,,409250,1,,0.06359552840562
2009-03-21 00:00:00+00:00,btc,50,,0.00000248551348148148,,,411750,0,,0.0632093989071038
2009-03-22 00:00:00+00:00,btc,131,,0.00000591552208592593,759.45454545,,417700,2,,0.0636257361742878
2009-03-23 00:00:00+00:00,btc,130,,0.00000646233505185185,,,424200,0,,0.0626508015087223
2009-03-24 00:00:00+00:00,btc,105,,0.00000521957831111111,,,429450,0,,0.0618848992897893
2009-03-25 00:00:00+00:00,btc,117,,0.00000581610154666667,,,435300,0,,0.0610532276590857
2009-03-26 00:00:00+00:00,btc,146,,0.00000581610154666667,315.10714286,,441150,1,,0.0634171370282217
2009-03-27 00:00:00+00:00,btc,106,,0.00000526928858074074,,,446450,0,,0.0626642849143241
2009-03-28 00:00:00+00:00,btc,140,,0.00000591552208592593,452.4,,452400,3,,0.0640505526083112
2009-03-29 00:00:00+00:00,btc,116,,0.00000576639127703704,,,458200,0,,0.0632397861195984
2009-03-30 00:00:00+00:00,btc,120,,0.00000596523235555556,,,464200,0,,0.0624223825937096
2009-03-31 00:00:00+00:00,btc,143,,0.00000546812965925926,293.5625,,469700,1,,0.0650978709814775
2009-04-01 00:00:00+00:00,btc,114,,0.00000566697073777778,,,475400,0,,0.0643173538073201
2009-04-02 00:00:00+00:00,btc,115,,0.00000571668100740741,,,481150,0,,0.0635487270082095
2009-04-03 00:00:00+00:00,btc,116,,0.00000576639127703704,,,486950,0,,0.0627918061402608
2009-04-04 00:00:00+00:00,btc,113,,0.00000561726046814815,,,492600,0,,0.0620715996751929
2009-04-05 00:00:00+00:00,btc,148,,0.00000646233505185185,587.17647059,,499100,2,,0.0629662793027449
2009-04-06 00:00:00+00:00,btc,109,,0.00000541841938962963,,,504550,0,,0.0622861361609355
2009-04-07 00:00:00+00:00,btc,100,,0.00000497102696296296,,,509550,0,,0.0616749484839564
2009-04-08 00:00:00+00:00,btc,105,,0.00000521957831111111,,,514800,0,,0.061045979020979
2009-04-09 00:00:00+00:00,btc,99,,0.00000492131669333333,,,519750,0,,0.0604645887445887
