date,bitcoin,isPartial
2020-01-01,24,False
2020-01-02,26,False
2020-01-03,29,False
2020-01-04,28,False
2020-01-05,26,False
2020-01-06,30,False
2020-01-07,38,False
2020-01-08,40,False
2020-01-09,32,False
2020-01-10,30,False
2020-01-11,29,False
2020-01-12,25,False
2020-01-13,26,False
2020-01-14,39,False
2020-01-15,37,False
2020-01-16,32,False
2020-01-17,34,False
2020-01-18,32,False
2020-01-19,34,False
2020-01-20,31,False
2020-01-21,31,False
2020-01-22,28,False
2020-01-23,30,False
2020-01-24,28,False
2020-01-25,23,False
2020-01-26,23,False
2020-01-27,28,False
2020-01-28,32,False
2020-01-29,33,False
2020-01-30,34,False
2020-01-31,33,False
2020-02-01,30,False
2020-02-02,29,False
2020-02-03,31,False
2020-02-04,31,False
2020-02-05,35,False
2020-02-06,35,False
2020-02-07,33,False
2020-02-08,31,False
2020-02-09,40,False
2020-02-10,37,False
2020-02-11,39,False
2020-02-12,41,False
2020-02-13,38,False
2020-02-14,34,False
2020-02-15,33,False
2020-02-16,33,False
2020-02-17,32,False
2020-02-18,33,False
2020-02-19,33,False
2020-02-20,34,False
2020-02-21,31,False
2020-02-22,27,False
2020-02-23,28,False
2020-02-24,35,False
2020-02-25,34,False
2020-02-26,38,False
2020-02-27,36,False
2020-02-28,36,False
2020-02-29,28,False
2020-03-01,27,False
2020-03-02,30,False
2020-03-03,30,False
2020-03-04,32,False
2020-03-05,33,False
2020-03-06,33,False
2020-03-07,28,False
2020-03-08,30,False
2020-03-09,55,False
2020-03-10,41,False
2020-03-11,35,False
2020-03-12,75,False
2020-03-13,100,False
2020-03-14,64,False
2020-03-15,53,False
2020-03-16,69,False
2020-03-17,55,False
2020-03-18,55,False
2020-03-19,59,False
2020-03-20,57,False
2020-03-21,49,False
2020-03-22,43,False
2020-03-23,46,False
2020-03-24,51,False
2020-03-25,45,False
2020-03-26,41,False
2020-03-27,38,False
2020-03-28,40,False
2020-03-29,42,False
2020-03-30,39,False
2020-03-31,37,False
2020-04-01,38,False
2020-04-02,40,False
2020-04-03,38,False
2020-04-04,34,False
2020-04-05,34,False
2020-04-06,41,False
2020-04-07,41,False
2020-04-08,37,False
2020-04-09,37,False
2020-04-10,40,False
2020-04-11,34,False
2020-04-12,35,False
2020-04-13,38,False
2020-04-14,37,False
2020-04-15,37,False
2020-04-16,38,False
2020-04-17,35,False
2020-04-18,36,False
2020-04-19,34,False
2020-04-20,35,False
2020-04-21,34,False
2020-04-22,35,False
2020-04-23,38,False
2020-04-24,39,False
2020-04-25,37,False
2020-04-26,39,False
2020-04-27,40,False
2020-04-28,38,False
2020-04-29,56,False
2020-04-30,61,False
2020-05-01,46,False
2020-05-02,46,False
2020-05-03,45,False
2020-05-04,45,False
2020-05-05,45,False
2020-05-06,50,False
2020-05-07,60,False
2020-05-08,68,False
2020-05-09,58,False
2020-05-10,76,False
2020-05-11,91,False
2020-05-12,65,False
2020-05-13,56,False
2020-05-14,57,False
2020-05-15,49,False
2020-05-16,45,False
2020-05-17,47,False
2020-05-18,46,False
2020-05-19,42,False
2020-05-20,42,False
2020-05-21,42,False
2020-05-22,40,False
2020-05-23,36,False
2020-05-24,38,False
2020-05-25,40,False
2020-05-26,38,False
2020-05-27,38,False
2020-05-28,37,False
2020-05-29,37,False
2020-05-30,35,False
2020-05-31,35,False
