date,bitcoin,isPartial
2016-01-01,28,False
2016-01-02,30,False
2016-01-03,33,False
2016-01-04,31,False
2016-01-05,30,False
2016-01-06,32,False
2016-01-07,35,False
2016-01-08,36,False
2016-01-09,31,False
2016-01-10,35,False
2016-01-11,35,False
2016-01-12,31,False
2016-01-13,39,False
2016-01-14,34,False
2016-01-15,47,False
2016-01-16,51,False
2016-01-17,39,False
2016-01-18,45,False
2016-01-19,40,False
2016-01-20,40,False
2016-01-21,39,False
2016-01-22,33,False
2016-01-23,37,False
2016-01-24,34,False
2016-01-25,31,False
2016-01-26,35,False
2016-01-27,35,False
2016-01-28,31,False
2016-01-29,35,False
2016-01-30,31,False
2016-01-31,27,False
2016-02-01,27,False
2016-02-02,30,False
2016-02-03,29,False
2016-02-04,33,False
2016-02-05,26,False
2016-02-06,29,False
2016-02-07,27,False
2016-02-08,27,False
2016-02-09,32,False
2016-02-10,32,False
2016-02-11,32,False
2016-02-12,36,False
2016-02-13,30,False
2016-02-14,28,False
2016-02-15,31,False
2016-02-16,35,False
2016-02-17,37,False
2016-02-18,41,False
2016-02-19,37,False
2016-02-20,33,False
2016-02-21,34,False
2016-02-22,35,False
2016-02-23,31,False
2016-02-24,28,False
2016-02-25,35,False
2016-02-26,30,False
2016-02-27,30,False
2016-02-28,31,False
2016-02-29,29,False
2016-03-01,41,False
2016-03-02,30,False
2016-03-03,36,False
2016-03-04,33,False
2016-03-05,30,False
2016-03-06,33,False
2016-03-07,29,False
2016-03-08,32,False
2016-03-09,30,False
2016-03-10,27,False
2016-03-11,31,False
2016-03-12,29,False
2016-03-13,27,False
2016-03-14,32,False
2016-03-15,31,False
2016-03-16,30,False
2016-03-17,31,False
2016-03-18,30,False
2016-03-19,29,False
2016-03-20,23,False
2016-03-21,33,False
2016-03-22,29,False
2016-03-23,29,False
2016-03-24,30,False
2016-03-25,27,False
2016-03-26,27,False
2016-03-27,28,False
2016-03-28,34,False
2016-03-29,29,False
2016-03-30,35,False
2016-03-31,30,False
2016-04-01,28,False
2016-04-02,26,False
2016-04-03,28,False
2016-04-04,26,False
2016-04-05,31,False
2016-04-06,33,False
2016-04-07,25,False
2016-04-08,29,False
2016-04-09,32,False
2016-04-10,29,False
2016-04-11,29,False
2016-04-12,32,False
2016-04-13,29,False
2016-04-14,31,False
2016-04-15,29,False
2016-04-16,29,False
2016-04-17,27,False
2016-04-18,27,False
2016-04-19,29,False
2016-04-20,32,False
2016-04-21,31,False
2016-04-22,36,False
2016-04-23,30,False
2016-04-24,35,False
2016-04-25,38,False
2016-04-26,36,False
2016-04-27,36,False
2016-04-28,35,False
2016-04-29,32,False
2016-04-30,34,False
2016-05-01,28,False
2016-05-02,100,False
2016-05-03,62,False
2016-05-04,43,False
2016-05-05,41,False
2016-05-06,39,False
2016-05-07,36,False
2016-05-08,33,False
2016-05-09,38,False
2016-05-10,40,False
2016-05-11,35,False
2016-05-12,34,False
2016-05-13,34,False
2016-05-14,29,False
2016-05-15,33,False
2016-05-16,33,False
2016-05-17,33,False
2016-05-18,32,False
2016-05-19,36,False
2016-05-20,33,False
2016-05-21,31,False
2016-05-22,25,False
2016-05-23,33,False
2016-05-24,33,False
2016-05-25,38,False
2016-05-26,31,False
2016-05-27,36,False
2016-05-28,42,False
2016-05-29,44,False
2016-05-30,49,False
2016-05-31,48,False
