date,bitcoin,isPartial
2021-04-01,34,False
2021-04-02,31,False
2021-04-03,27,False
2021-04-04,26,False
2021-04-05,28,False
2021-04-06,27,False
2021-04-07,27,False
2021-04-08,26,False
2021-04-09,24,False
2021-04-10,27,False
2021-04-11,27,False
2021-04-12,27,False
2021-04-13,37,False
2021-04-14,41,False
2021-04-15,36,False
2021-04-16,39,False
2021-04-17,32,False
2021-04-18,54,False
2021-04-19,43,False
2021-04-20,39,False
2021-04-21,33,False
2021-04-22,36,False
2021-04-23,56,False
2021-04-24,41,False
2021-04-25,36,False
2021-04-26,38,False
2021-04-27,35,False
2021-04-28,33,False
2021-04-29,29,False
2021-04-30,29,False
2021-05-01,28,False
2021-05-02,25,False
2021-05-03,29,False
2021-05-04,31,False
2021-05-05,30,False
2021-05-06,30,False
2021-05-07,27,False
2021-05-08,27,False
2021-05-09,30,False
2021-05-10,30,False
2021-05-11,28,False
2021-05-12,30,False
2021-05-13,69,False
2021-05-14,44,False
2021-05-15,36,False
2021-05-16,38,False
2021-05-17,54,False
2021-05-18,43,False
2021-05-19,100,False
2021-05-20,79,False
2021-05-21,62,False
2021-05-22,53,False
2021-05-23,63,False
2021-05-24,59,False
2021-05-25,47,False
2021-05-26,41,False
2021-05-27,36,False
2021-05-28,38,False
2021-05-29,36,False
2021-05-30,34,False
2021-05-31,33,False
2021-06-01,34,False
2021-06-02,34,False
2021-06-03,32,False
2021-06-04,35,False
2021-06-05,31,False
2021-06-06,33,False
2021-06-07,32,False
2021-06-08,42,False
2021-06-09,40,False
2021-06-10,35,False
2021-06-11,30,False
2021-06-12,26,False
2021-06-13,27,False
2021-06-14,34,False
2021-06-15,29,False
2021-06-16,26,False
2021-06-17,24,False
2021-06-18,25,False
2021-06-19,22,False
2021-06-20,24,False
2021-06-21,34,False
2021-06-22,45,False
2021-06-23,33,False
2021-06-24,28,False
2021-06-25,29,False
2021-06-26,27,False
2021-06-27,25,False
2021-06-28,27,False
2021-06-29,25,False
2021-06-30,24,False
