date,bitcoin,isPartial
2021-01-03,88,False
2021-01-10,82,False
2021-01-17,55,False
2021-01-24,51,False
2021-01-31,48,False
2021-02-07,78,False
2021-02-14,75,False
2021-02-21,82,False
2021-02-28,57,False
2021-03-07,55,False
2021-03-14,55,False
2021-03-21,48,False
2021-03-28,48,False
2021-04-04,44,False
2021-04-11,55,False
2021-04-18,68,False
2021-04-25,52,False
2021-05-02,44,False
2021-05-09,60,False
2021-05-16,100,False
2021-05-23,73,False
2021-05-30,54,False
2021-06-06,56,False
2021-06-13,41,False
2021-06-20,52,False
2021-06-27,37,False
2021-07-04,31,False
2021-07-11,30,False
2021-07-18,34,False
2021-07-25,39,False
2021-08-01,33,False
2021-08-08,37,False
2021-08-15,34,False
2021-08-22,33,False
2021-08-29,30,False
2021-09-05,40,False
2021-09-12,30,False
2021-09-19,35,False
2021-09-26,30,False
2021-10-03,32,False
2021-10-10,35,False
2021-10-17,45,False
2021-10-24,35,False
2021-10-31,31,False
2021-11-07,35,False
2021-11-14,35,False
2021-11-21,34,False
2021-11-28,35,False
2021-12-05,38,False
2021-12-12,33,False
2021-12-19,31,False
2021-12-26,29,False
