date,bitcoin,isPartial
2017-06-01,7,False
2017-06-02,7,False
2017-06-03,6,False
2017-06-04,6,False
2017-06-05,7,False
2017-06-06,9,False
2017-06-07,8,False
2017-06-08,7,False
2017-06-09,7,False
2017-06-10,7,False
2017-06-11,7,False
2017-06-12,9,False
2017-06-13,8,False
2017-06-14,7,False
2017-06-15,10,False
2017-06-16,7,False
2017-06-17,6,False
2017-06-18,6,False
2017-06-19,6,False
2017-06-20,7,False
2017-06-21,7,False
2017-06-22,7,False
2017-06-23,6,False
2017-06-24,6,False
2017-06-25,6,False
2017-06-26,7,False
2017-06-27,8,False
2017-06-28,8,False
2017-06-29,7,False
2017-06-30,5,False
2017-07-01,5,False
2017-07-02,6,False
2017-07-03,5,False
2017-07-04,5,False
2017-07-05,6,False
2017-07-06,6,False
2017-07-07,6,False
2017-07-08,5,False
2017-07-09,5,False
2017-07-10,6,False
2017-07-11,7,False
2017-07-12,7,False
2017-07-13,6,False
2017-07-14,6,False
2017-07-15,7,False
2017-07-16,8,False
2017-07-17,7,False
2017-07-18,7,False
2017-07-19,7,False
2017-07-20,8,False
2017-07-21,7,False
2017-07-22,6,False
2017-07-23,6,False
2017-07-24,7,False
2017-07-25,7,False
2017-07-26,7,False
2017-07-27,6,False
2017-07-28,7,False
2017-07-29,5,False
2017-07-30,6,False
2017-07-31,7,False
2017-08-01,12,False
2017-08-02,12,False
2017-08-03,8,False
2017-08-04,7,False
2017-08-05,10,False
2017-08-06,7,False
2017-08-07,9,False
2017-08-08,9,False
2017-08-09,8,False
2017-08-10,8,False
2017-08-11,9,False
2017-08-12,10,False
2017-08-13,12,False
2017-08-14,13,False
2017-08-15,13,False
2017-08-16,12,False
2017-08-17,11,False
2017-08-18,12,False
2017-08-19,10,False
2017-08-20,10,False
2017-08-21,10,False
2017-08-22,11,False
2017-08-23,10,False
2017-08-24,9,False
2017-08-25,10,False
2017-08-26,8,False
2017-08-27,8,False
2017-08-28,9,False
2017-08-29,10,False
2017-08-30,11,False
2017-08-31,11,False
2017-09-01,12,False
2017-09-02,12,False
2017-09-03,10,False
2017-09-04,13,False
2017-09-05,13,False
2017-09-06,11,False
2017-09-07,10,False
2017-09-08,11,False
2017-09-09,9,False
2017-09-10,9,False
2017-09-11,10,False
2017-09-12,10,False
2017-09-13,13,False
2017-09-14,16,False
2017-09-15,18,False
2017-09-16,12,False
2017-09-17,10,False
2017-09-18,11,False
2017-09-19,10,False
2017-09-20,9,False
2017-09-21,9,False
2017-09-22,8,False
2017-09-23,7,False
2017-09-24,7,False
2017-09-25,8,False
2017-09-26,8,False
2017-09-27,8,False
2017-09-28,8,False
2017-09-29,8,False
2017-09-30,7,False
2017-10-01,7,False
2017-10-02,8,False
2017-10-03,8,False
2017-10-04,7,False
2017-10-05,8,False
2017-10-06,8,False
2017-10-07,7,False
2017-10-08,8,False
2017-10-09,9,False
2017-10-10,9,False
2017-10-11,9,False
2017-10-12,15,False
2017-10-13,18,False
2017-10-14,12,False
2017-10-15,12,False
2017-10-16,12,False
2017-10-17,11,False
2017-10-18,12,False
2017-10-19,11,False
2017-10-20,13,False
2017-10-21,15,False
2017-10-22,12,False
2017-10-23,14,False
2017-10-24,14,False
2017-10-25,13,False
2017-10-26,12,False
2017-10-27,11,False
2017-10-28,9,False
2017-10-29,11,False
2017-10-30,12,False
2017-10-31,14,False
2017-11-01,18,False
2017-11-02,23,False
2017-11-03,21,False
2017-11-04,17,False
2017-11-05,15,False
2017-11-06,17,False
2017-11-07,16,False
2017-11-08,18,False
2017-11-09,16,False
2017-11-10,19,False
2017-11-11,20,False
2017-11-12,24,False
2017-11-13,22,False
2017-11-14,17,False
2017-11-15,17,False
2017-11-16,18,False
2017-11-17,20,False
2017-11-18,15,False
2017-11-19,14,False
2017-11-20,18,False
2017-11-21,20,False
2017-11-22,17,False
2017-11-23,16,False
2017-11-24,16,False
2017-11-25,17,False
2017-11-26,23,False
2017-11-27,33,False
2017-11-28,38,False
2017-11-29,60,False
2017-11-30,50,False
2017-12-01,37,False
2017-12-02,29,False
2017-12-03,29,False
2017-12-04,35,False
2017-12-05,35,False
2017-12-06,46,False
2017-12-07,93,False
2017-12-08,82,False
2017-12-09,57,False
2017-12-10,52,False
2017-12-11,63,False
2017-12-12,58,False
2017-12-13,52,False
2017-12-14,45,False
2017-12-15,42,False
2017-12-16,42,False
2017-12-17,46,False
2017-12-18,47,False
2017-12-19,49,False
2017-12-20,66,False
2017-12-21,50,False
2017-12-22,100,False
2017-12-23,61,False
2017-12-24,48,False
2017-12-25,40,False
2017-12-26,39,False
2017-12-27,37,False
2017-12-28,38,False
2017-12-29,32,False
2017-12-30,32,False
2017-12-31,28,False
