date,bitcoin,isPartial
2013-06-01,8,False
2013-06-02,10,False
2013-06-03,9,False
2013-06-04,8,False
2013-06-05,8,False
2013-06-06,8,False
2013-06-07,8,False
2013-06-08,7,False
2013-06-09,9,False
2013-06-10,8,False
2013-06-11,9,False
2013-06-12,8,False
2013-06-13,7,False
2013-06-14,8,False
2013-06-15,7,False
2013-06-16,7,False
2013-06-17,7,False
2013-06-18,9,False
2013-06-19,7,False
2013-06-20,8,False
2013-06-21,7,False
2013-06-22,6,False
2013-06-23,7,False
2013-06-24,7,False
2013-06-25,8,False
2013-06-26,7,False
2013-06-27,7,False
2013-06-28,7,False
2013-06-29,7,False
2013-06-30,9,False
2013-07-01,9,False
2013-07-02,15,False
2013-07-03,9,False
2013-07-04,9,False
2013-07-05,8,False
2013-07-06,8,False
2013-07-07,8,False
2013-07-08,6,False
2013-07-09,7,False
2013-07-10,7,False
2013-07-11,8,False
2013-07-12,8,False
2013-07-13,6,False
2013-07-14,6,False
2013-07-15,7,False
2013-07-16,6,False
2013-07-17,6,False
2013-07-18,5,False
2013-07-19,5,False
2013-07-20,5,False
2013-07-21,5,False
2013-07-22,6,False
2013-07-23,6,False
2013-07-24,7,False
2013-07-25,7,False
2013-07-26,6,False
2013-07-27,4,False
2013-07-28,7,False
2013-07-29,7,False
2013-07-30,7,False
2013-07-31,7,False
2013-08-01,6,False
2013-08-02,6,False
2013-08-03,5,False
2013-08-04,8,False
2013-08-05,8,False
2013-08-06,6,False
2013-08-07,6,False
2013-08-08,7,False
2013-08-09,7,False
2013-08-10,6,False
2013-08-11,6,False
2013-08-12,8,False
2013-08-13,8,False
2013-08-14,11,False
2013-08-15,9,False
2013-08-16,8,False
2013-08-17,6,False
2013-08-18,7,False
2013-08-19,9,False
2013-08-20,9,False
2013-08-21,10,False
2013-08-22,9,False
2013-08-23,7,False
2013-08-24,7,False
2013-08-25,8,False
2013-08-26,7,False
2013-08-27,8,False
2013-08-28,8,False
2013-08-29,8,False
2013-08-30,7,False
2013-08-31,6,False
2013-09-01,6,False
2013-09-02,5,False
2013-09-03,7,False
2013-09-04,6,False
2013-09-05,7,False
2013-09-06,6,False
2013-09-07,6,False
2013-09-08,6,False
2013-09-09,7,False
2013-09-10,6,False
2013-09-11,6,False
2013-09-12,6,False
2013-09-13,5,False
2013-09-14,5,False
2013-09-15,5,False
2013-09-16,6,False
2013-09-17,6,False
2013-09-18,6,False
2013-09-19,5,False
2013-09-20,7,False
2013-09-21,5,False
2013-09-22,6,False
2013-09-23,6,False
2013-09-24,7,False
2013-09-25,6,False
2013-09-26,6,False
2013-09-27,6,False
2013-09-28,6,False
2013-09-29,6,False
2013-09-30,5,False
2013-10-01,6,False
2013-10-02,11,False
2013-10-03,18,False
2013-10-04,13,False
2013-10-05,10,False
2013-10-06,9,False
2013-10-07,8,False
2013-10-08,8,False
2013-10-09,8,False
2013-10-10,7,False
2013-10-11,6,False
2013-10-12,7,False
2013-10-13,7,False
2013-10-14,7,False
2013-10-15,7,False
2013-10-16,8,False
2013-10-17,7,False
2013-10-18,9,False
2013-10-19,8,False
2013-10-20,9,False
2013-10-21,8,False
2013-10-22,11,False
2013-10-23,11,False
2013-10-24,10,False
2013-10-25,10,False
2013-10-26,11,False
2013-10-27,9,False
2013-10-28,11,False
2013-10-29,26,False
2013-10-30,40,False
2013-10-31,28,False
2013-11-01,20,False
2013-11-02,17,False
2013-11-03,14,False
2013-11-04,19,False
2013-11-05,19,False
2013-11-06,24,False
2013-11-07,26,False
2013-11-08,26,False
2013-11-09,23,False
2013-11-10,22,False
2013-11-11,21,False
2013-11-12,21,False
2013-11-13,25,False
2013-11-14,25,False
2013-11-15,25,False
2013-11-16,23,False
2013-11-17,26,False
2013-11-18,61,False
2013-11-19,85,False
2013-11-20,58,False
2013-11-21,50,False
2013-11-22,47,False
2013-11-23,43,False
2013-11-24,35,False
2013-11-25,37,False
2013-11-26,42,False
2013-11-27,68,False
2013-11-28,100,False
2013-11-29,90,False
2013-11-30,69,False
2013-12-01,59,False
2013-12-02,60,False
2013-12-03,55,False
2013-12-04,51,False
2013-12-05,71,False
2013-12-06,66,False
2013-12-07,71,False
2013-12-08,51,False
2013-12-09,50,False
2013-12-10,45,False
2013-12-11,46,False
2013-12-12,42,False
2013-12-13,46,False
2013-12-14,37,False
2013-12-15,36,False
2013-12-16,42,False
2013-12-17,43,False
2013-12-18,77,False
2013-12-19,57,False
2013-12-20,39,False
2013-12-21,37,False
2013-12-22,34,False
2013-12-23,31,False
2013-12-24,32,False
2013-12-25,30,False
2013-12-26,29,False
2013-12-27,30,False
2013-12-28,26,False
2013-12-29,27,False
2013-12-30,27,False
2013-12-31,26,False
