date,bitcoin,isPartial
2017-01-01,15,False
2017-01-02,28,False
2017-01-03,26,False
2017-01-04,30,False
2017-01-05,36,False
2017-01-06,30,False
2017-01-07,25,False
2017-01-08,23,False
2017-01-09,22,False
2017-01-10,20,False
2017-01-11,23,False
2017-01-12,23,False
2017-01-13,19,False
2017-01-14,18,False
2017-01-15,16,False
2017-01-16,16,False
2017-01-17,18,False
2017-01-18,18,False
2017-01-19,17,False
2017-01-20,16,False
2017-01-21,14,False
2017-01-22,14,False
2017-01-23,16,False
2017-01-24,17,False
2017-01-25,17,False
2017-01-26,15,False
2017-01-27,14,False
2017-01-28,14,False
2017-01-29,13,False
2017-01-30,14,False
2017-01-31,16,False
2017-02-01,16,False
2017-02-02,18,False
2017-02-03,17,False
2017-02-04,14,False
2017-02-05,17,False
2017-02-06,17,False
2017-02-07,18,False
2017-02-08,18,False
2017-02-09,20,False
2017-02-10,18,False
2017-02-11,18,False
2017-02-12,15,False
2017-02-13,14,False
2017-02-14,14,False
2017-02-15,15,False
2017-02-16,15,False
2017-02-17,18,False
2017-02-18,17,False
2017-02-19,14,False
2017-02-20,16,False
2017-02-21,20,False
2017-02-22,19,False
2017-02-23,20,False
2017-02-24,25,False
2017-02-25,20,False
2017-02-26,16,False
2017-02-27,18,False
2017-02-28,19,False
2017-03-01,21,False
2017-03-02,24,False
2017-03-03,33,False
2017-03-04,26,False
2017-03-05,22,False
2017-03-06,24,False
2017-03-07,24,False
2017-03-08,27,False
2017-03-09,24,False
2017-03-10,33,False
2017-03-11,26,False
2017-03-12,22,False
2017-03-13,22,False
2017-03-14,21,False
2017-03-15,20,False
2017-03-16,20,False
2017-03-17,22,False
2017-03-18,25,False
2017-03-19,21,False
2017-03-20,21,False
2017-03-21,21,False
2017-03-22,21,False
2017-03-23,19,False
2017-03-24,21,False
2017-03-25,22,False
2017-03-26,18,False
2017-03-27,18,False
2017-03-28,18,False
2017-03-29,20,False
2017-03-30,17,False
2017-03-31,18,False
2017-04-01,18,False
2017-04-02,16,False
2017-04-03,19,False
2017-04-04,19,False
2017-04-05,17,False
2017-04-06,18,False
2017-04-07,18,False
2017-04-08,18,False
2017-04-09,18,False
2017-04-10,18,False
2017-04-11,19,False
2017-04-12,19,False
2017-04-13,19,False
2017-04-14,17,False
2017-04-15,16,False
2017-04-16,17,False
2017-04-17,18,False
2017-04-18,21,False
2017-04-19,18,False
2017-04-20,17,False
2017-04-21,18,False
2017-04-22,18,False
2017-04-23,16,False
2017-04-24,17,False
2017-04-25,18,False
2017-04-26,21,False
2017-04-27,21,False
2017-04-28,21,False
2017-04-29,18,False
2017-04-30,17,False
2017-05-01,24,False
2017-05-02,25,False
2017-05-03,27,False
2017-05-04,33,False
2017-05-05,30,False
2017-05-06,26,False
2017-05-07,25,False
2017-05-08,29,False
2017-05-09,37,False
2017-05-10,36,False
2017-05-11,36,False
2017-05-12,45,False
2017-05-13,47,False
2017-05-14,38,False
2017-05-15,54,False
2017-05-16,50,False
2017-05-17,42,False
2017-05-18,36,False
2017-05-19,44,False
2017-05-20,41,False
2017-05-21,40,False
2017-05-22,65,False
2017-05-23,69,False
2017-05-24,79,False
2017-05-25,100,False
2017-05-26,78,False
2017-05-27,66,False
2017-05-28,51,False
2017-05-29,49,False
2017-05-30,51,False
2017-05-31,48,False
