Date,RSI_14
2014-10-03,39.00083109757219
2014-10-04,32.34531295427421
2014-10-05,30.80185913857545
2014-10-06,34.647744583209224
2014-10-07,37.05264289523231
2014-10-08,43.22397556895773
2014-10-09,47.242448070654554
2014-10-10,46.23244767902462
2014-10-11,46.49454482300107
2014-10-12,52.04521154437152
2014-10-13,55.661990564541206
2014-10-14,58.62358437151857
2014-10-15,56.26358865022687
2014-10-16,51.76658872570188
2014-10-17,52.171634186681985
2014-10-18,54.78560632842279
2014-10-19,54.00135479365831
2014-10-20,51.211128526751395
2014-10-21,52.638743149709995
2014-10-22,51.165440535674676
2014-10-23,41.77374171939674
2014-10-24,41.74972759475117
2014-10-25,38.11959221356739
2014-10-26,41.77886481153572
2014-10-27,41.17387757911016
2014-10-28,43.54996418965625
2014-10-29,36.0815196726925
2014-10-30,40.89535055233376
2014-10-31,38.64207265649334
2014-11-01,34.912891382800495
2014-11-02,34.98974525568452
2014-11-03,35.93651137524132
2014-11-04,37.66475809517961
2014-11-05,42.75582702145259
2014-11-06,47.76402478580607
2014-11-07,44.80384044552625
2014-11-08,46.402788287674696
2014-11-09,54.59634913336038
2014-11-10,56.08494223883977
2014-11-11,56.40915928127702
2014-11-12,72.34269970636088
2014-11-13,70.93028860858229
2014-11-14,60.59809680975001
2014-11-15,52.76563418129694
2014-11-16,56.07806469543974
2014-11-17,55.90772261252002
2014-11-18,51.56274444826716
2014-11-19,53.27837694078686
2014-11-20,45.8607937177307
2014-11-21,43.83762488807329
2014-11-22,44.61734988938428
2014-11-23,49.91320254570263
2014-11-24,52.99466291767189
2014-11-25,52.41647223292131
2014-11-26,49.7879900376416
2014-11-27,50.28814033527441
2014-11-28,52.920792385702285
2014-11-29,52.49843163123714
2014-11-30,53.56549066232681
2014-12-01,54.08609129317177
2014-12-02,55.02439037718422
2014-12-03,51.56761260466972
2014-12-04,48.740255348333505
2014-12-05,52.50148507905349
2014-12-06,51.343648369616076
2014-12-07,51.51617426573849
2014-12-08,44.31781545546402
2014-12-09,39.905029017189015
2014-12-10,37.47721370072782
2014-12-11,40.24663842410512
2014-12-12,41.61593099972591
2014-12-13,39.16359072381034
2014-12-14,42.186212870859045
2014-12-15,39.09605441244347
2014-12-16,31.800840120843144
2014-12-17,29.442999313163998
2014-12-18,26.966492709785015
2014-12-19,31.724445689160756
2014-12-20,39.67625362021426
2014-12-21,36.25516048354086
2014-12-22,42.70249179154253
2014-12-23,44.18132417647312
2014-12-24,39.28728718383474
2014-12-25,37.96087729154298
2014-12-26,43.18443154330099
2014-12-27,38.46622078819221
2014-12-28,39.281290077504146
2014-12-29,37.50483787573995
2014-12-30,36.7476638213474
2014-12-31,42.82826923571022
2015-01-01,40.21143527005947
2015-01-02,40.72523541146929
2015-01-03,29.06325889453944
2015-01-04,25.198052912319103
2015-01-05,31.19628267843954
2015-01-06,37.361234473600355
2015-01-07,41.30076414014089
2015-01-08,37.84414239860769
2015-01-09,41.246173731376366
2015-01-10,36.48929270830003
2015-01-11,34.016913438503174
2015-01-12,35.12369875742753
2015-01-13,25.928344597602827
2015-01-14,19.626527142835243
2015-01-15,31.536465337204934
2015-01-16,31.261886232500913
2015-01-17,29.846278185754972
2015-01-18,33.88819521709532
2015-01-19,35.52112374579671
2015-01-20,34.79534836411709
2015-01-21,40.544188742260964
2015-01-22,42.81237974352769
2015-01-23,42.67044135564252
2015-01-24,47.94873001841176
2015-01-25,49.89726864972147
2015-01-26,55.88197713644152
2015-01-27,52.4662585169141
2015-01-28,43.918790655150715
2015-01-29,43.814253338014026
2015-01-30,41.91960807432496
2015-01-31,39.588821003272905
2015-02-01,43.19767058268788
2015-02-02,47.21795037345908
2015-02-03,43.95569968625545
2015-02-04,43.83222023713965
2015-02-05,40.92583238332623
2015-02-06,43.07671275676976
2015-02-07,45.357665033993456
2015-02-08,43.86019774275827
2015-02-09,42.70551334242317
2015-02-10,42.60637593889652
2015-02-11,42.35085881247404
2015-02-12,43.782622406736124
2015-02-13,50.75974426464811
2015-02-14,59.44552178050224
2015-02-15,49.73737704138201
2015-02-16,49.35844017947384
2015-02-17,53.179278230552164
2015-02-18,50.140932033078336
2015-02-19,51.753585114314006
2015-02-20,53.19400295406752
2015-02-21,53.51675875613529
2015-02-22,49.36214027086831
2015-02-23,50.76437863025666
2015-02-24,50.68297437324236
2015-02-25,49.98741757714108
2015-02-26,49.385047852608935
2015-02-27,58.386587846591155
2015-02-28,58.584863169834186
2015-03-01,61.29629875646738
2015-03-02,67.30087792336842
2015-03-03,69.30103438865977
2015-03-04,63.34487412438891
2015-03-05,64.52184496740045
2015-03-06,62.117034817205926
2015-03-07,63.612637326858156
2015-03-08,62.18752313456134
2015-03-09,68.30402937302021
2015-03-10,69.06470462793406
2015-03-11,70.6898695721972
2015-03-12,68.97898170025664
2015-03-13,61.805730685071325
2015-03-14,59.26482104558016
2015-03-15,61.49129304179473
2015-03-16,63.49331437659753
2015-03-17,59.460387733944145
2015-03-18,42.69591889141074
2015-03-19,45.327002396973356
2015-03-20,45.802296414686325
2015-03-21,44.919199295745905
2015-03-22,49.724010044220776
2015-03-23,49.01604404275538
2015-03-24,38.72480892369165
2015-03-25,39.11673530106186
2015-03-26,40.70103348878906
2015-03-27,39.97986623835884
2015-03-28,44.0758530006549
2015-03-29,39.057854339372675
2015-03-30,42.42665988187614
2015-03-31,40.76187491045529
2015-04-01,42.985824981207585
2015-04-02,47.01510155329666
2015-04-03,47.92555465912589
2015-04-04,47.50834536326913
2015-04-05,52.432307711844906
2015-04-06,48.78584623288351
