Date,ROC_14
2014-10-03,-8.93727340037066
2014-10-04,-19.573786650632652
2014-10-05,-19.63562632133521
2014-10-06,-17.921829697789306
2014-10-07,-22.855904878344358
2014-10-08,-16.603061674223607
2014-10-09,-11.309753151198176
2014-10-10,-10.598498429083204
2014-10-11,-9.316424465560347
2014-10-12,0.36269350789144283
2014-10-13,3.9809066048172914
2014-10-14,3.598969101472038
2014-10-15,2.9086506760332753
2014-10-16,1.995352673508477
2014-10-17,6.7441430250144485
2014-10-18,19.02780754800868
2014-10-19,21.539414634819053
2014-10-20,15.985866838366958
2014-10-21,14.958339318593294
2014-10-22,8.561791757455705
2014-10-23,-1.8105584210150405
2014-10-24,-0.8897535950209479
2014-10-25,-4.147959156311365
2014-10-26,-6.299052515553926
2014-10-27,-9.58597460750389
2014-10-28,-10.789528909490976
2014-10-29,-14.991401514505764
2014-10-30,-9.73739975323873
2014-10-31,-11.840009191626066
2014-11-01,-16.782306280246583
2014-11-02,-16.340558915777827
2014-11-03,-14.442141037646717
2014-11-04,-14.485542695094756
2014-11-05,-11.397908732113349
2014-11-06,-2.546470508853549
2014-11-07,-4.445434415310845
2014-11-08,-0.5134287114493152
2014-11-09,2.413279173246452
2014-11-10,3.9477140781497555
2014-11-11,2.817809978815644
2014-11-12,26.21345662237553
2014-11-13,21.844454476220076
2014-11-14,17.58595432679804
2014-11-15,15.467124713413916
2014-11-16,19.021636425697096
2014-11-17,18.273019580961524
2014-11-18,13.527103064193934
2014-11-19,12.097406658239972
2014-11-20,2.4478189411939244
2014-11-21,2.4627959576386305
2014-11-22,2.151161791268774
2014-11-23,1.1861868792682584
2014-11-24,2.719088885137011
2014-11-25,2.081340473573534
2014-11-26,-13.030238701978703
2014-11-27,-12.137087197538365
2014-11-28,-5.372055154880839
2014-11-29,-0.17068404176909802
2014-11-30,-2.5355629492763043
2014-12-01,-2.107079670710965
2014-12-02,1.630340255706808
2014-12-03,-1.4570779787403842
2014-12-04,3.2875050669294303
2014-12-05,7.412330294881686
2014-12-06,6.195452282271119
2014-12-07,2.0463970533548315
2014-12-08,-3.977703418198131
2014-12-09,-6.16201458192428
2014-12-10,-5.973614924852944
2014-12-11,-5.184083189349742
2014-12-12,-6.35016338860842
2014-12-13,-7.487527057805876
2014-12-14,-6.987228627556064
2014-12-15,-8.938811176664318
2014-12-16,-14.227866649736477
2014-12-17,-14.728675909211086
2014-12-18,-15.748749301969156
2014-12-19,-15.658853660474847
2014-12-20,-11.961260328334811
2014-12-21,-14.463539598065712
2014-12-22,-8.295734908187423
2014-12-23,-5.010236046497818
2014-12-24,-6.880312297152202
2014-12-25,-8.986441008606727
2014-12-26,-6.982992539510013
2014-12-27,-9.071726131045077
2014-12-28,-9.780957386104038
2014-12-29,-9.461549437630335
2014-12-30,-4.991411842718074
2014-12-31,0.13040128048884547
2015-01-01,0.9161957882079186
2015-01-02,-0.884390757377318
2015-01-03,-14.812276148558157
2015-01-04,-17.655981989720104
2015-01-05,-17.298707815882274
2015-01-06,-14.461161514264354
2015-01-07,-8.742331432428808
2015-01-08,-11.178088777436146
2015-01-09,-11.4404617355086
2015-01-10,-13.00152790605199
2015-01-11,-16.258722201172894
2015-01-12,-14.351879340600526
2015-01-13,-27.31441958955645
2015-01-14,-44.37636022847009
2015-01-15,-33.22365427595819
2015-01-16,-33.94417347674441
2015-01-17,-29.109656864866274
2015-01-18,-20.384943156779645
2015-01-19,-21.718999692936325
2015-01-20,-26.16242913183997
2015-01-21,-22.912512400836217
2015-01-22,-17.625964155955963
2015-01-23,-19.809713913174352
2015-01-24,-9.806908026569094
2015-01-25,-4.495220138594891
2015-01-26,2.1198980612069596
2015-01-27,16.65361232452216
2015-01-28,31.33692129841028
2015-01-29,11.279334494557913
2015-01-30,8.807432591531828
2015-01-31,9.135807716947886
2015-02-01,7.907708320670248
2015-02-02,10.875874574757628
2015-02-03,7.5493944343809405
2015-02-04,-0.019394703067088237
2015-02-05,-6.981403040674127
2015-02-06,-4.557298893908845
2015-02-07,-8.10701844282965
2015-02-08,-11.944757077189994
2015-02-09,-19.51307535334239
2015-02-10,-16.56172312602586
2015-02-11,-6.297157275420995
2015-02-12,-5.031408101476142
2015-02-13,3.9757089017240954
2015-02-14,18.328094803551508
2015-02-15,3.4598968154662346
2015-02-16,-1.8410864866815202
2015-02-17,7.190627646861247
2015-02-18,4.175835067323352
2015-02-19,10.672887994542446
2015-02-20,9.67894343681146
2015-02-21,7.367597999311526
2015-02-22,5.624139182888954
2015-02-23,8.533004822438773
2015-02-24,8.595379150301374
2015-02-25,8.342269391995515
2015-02-26,6.611526880412444
2015-02-27,7.816011266201306
2015-02-28,-1.1884043018732915
2015-03-01,10.806770711893154
2015-03-02,17.88679183993711
2015-03-03,15.636466008634864
2015-03-04,15.557325633957753
2015-03-05,14.938636213576562
2015-03-06,11.873042456030669
2015-03-07,12.97446955811219
2015-03-08,16.263024865494845
2015-03-09,21.229257331591334
2015-03-10,22.21082320476335
2015-03-11,24.806921611963983
2015-03-12,24.501539688983854
2015-03-13,12.4135251538815
2015-03-14,10.863558598773725
2015-03-15,10.065644923031236
2015-03-16,5.41334686264916
2015-03-17,1.3500113786911072
2015-03-18,-6.149209198760519
2015-03-19,-5.52180097728201
2015-03-20,-4.023862791883692
2015-03-21,-5.877048451568189
2015-03-22,-2.330570324025605
2015-03-23,-7.895874545433568
2015-03-24,-15.822939202668673
2015-03-25,-16.93169635454399
2015-03-26,-15.566972209421703
2015-03-27,-13.425527777494118
2015-03-28,-10.318748769223319
