Date,TSI_13_25_13
2014-11-07,-21.62047028729786
2014-11-08,-20.130553315609138
2014-11-09,-16.119253902817366
2014-11-10,-12.35619336750912
2014-11-11,-9.19373383549157
2014-11-12,1.033824123279687
2014-11-13,8.13812761504971
2014-11-14,10.41618991868442
2014-11-15,9.343226182163802
2014-11-16,9.730311479534265
2014-11-17,9.964166487919464
2014-11-18,8.718907304958995
2014-11-19,8.271375196030437
2014-11-20,5.384477459557271
2014-11-21,2.412760601876216
2014-11-22,0.29240205796501334
2014-11-23,0.109256368847205
2014-11-24,0.9134603081151045
2014-11-25,1.3933371458292731
2014-11-26,1.0464167756144025
2014-11-27,0.899816746111539
2014-11-28,1.5020737565355358
2014-11-29,1.8927455722508864
2014-11-30,2.5035760414957213
2014-12-01,3.15475255014702
2014-12-02,3.9506463538334677
2014-12-03,3.8013185233249565
2014-12-04,2.9478698647357664
2014-12-05,3.1694594072835076
2014-12-06,3.0620798513544303
2014-12-07,3.0140892335661156
2014-12-08,1.00099543243146
2014-12-09,-2.089543107826688
2014-12-10,-5.457973461512509
2014-12-11,-7.539753116384106
2014-12-12,-8.908817946747634
2014-12-13,-10.779306967670074
2014-12-14,-11.560020682322405
2014-12-15,-13.112229678491335
2014-12-16,-16.944100880526822
2014-12-17,-20.92612127586981
2014-12-18,-25.107954878127753
2014-12-19,-27.086580792358486
2014-12-20,-26.18702508957082
2014-12-21,-26.545076121903783
2014-12-22,-24.66908066244982
2014-12-23,-22.704664552799734
2014-12-24,-22.58492383278631
2014-12-25,-22.902895120412644
2014-12-26,-21.51019448999205
2014-12-27,-21.829105442572118
2014-12-28,-21.830223655596573
2014-12-29,-22.362608198138137
2014-12-30,-23.016505731087026
2014-12-31,-21.78130964729853
2015-01-01,-21.500389859803704
2015-01-02,-21.12587360947344
2015-01-03,-24.861086754977375
2015-01-04,-29.469943803511942
2015-01-05,-31.006790413553436
2015-01-06,-30.05686344568352
2015-01-07,-27.931127790402336
2015-01-08,-27.355595845661174
2015-01-09,-25.760694875975922
2015-01-10,-26.00245274124296
2015-01-11,-27.024313060473574
2015-01-12,-27.481377012902094
2015-01-13,-31.4171750751546
2015-01-14,-37.76530730258106
2015-01-15,-37.644490164245724
2015-01-16,-37.665283361605056
2015-01-17,-38.1927158477639
2015-01-18,-37.19812639904643
2015-01-19,-35.88713846883143
2015-01-20,-35.06919216929286
2015-01-21,-32.56023550408912
2015-01-22,-29.816433880931584
2015-01-23,-27.650803080986506
2015-01-24,-24.177425925433766
2015-01-25,-20.71290243802076
2015-01-26,-15.751321548263412
2015-01-27,-12.580284354590509
2015-01-28,-12.440426179325646
2015-01-29,-12.363176262333416
2015-01-30,-12.867646297063834
2015-01-31,-13.987111280142749
2015-02-01,-13.88411586077502
2015-02-02,-12.609533960572367
2015-02-03,-12.484341092539022
2015-02-04,-12.417640063636332
2015-02-05,-13.185347179252364
2015-02-06,-13.240217779718057
2015-02-07,-12.663812874821382
2015-02-08,-12.575907625247908
2015-02-09,-12.805984773268003
2015-02-10,-13.024559540343036
2015-02-11,-13.273824875437125
2015-02-12,-13.144948748265774
2015-02-13,-11.180634847992172
2015-02-14,-6.636516133819804
2015-02-15,-5.568076428421637
2015-02-16,-4.8424233218851205
2015-02-17,-3.0445806227806416
2015-02-18,-2.464480517915981
2015-02-19,-1.5113445095606945
2015-02-20,-0.3068666361452183
2015-02-21,0.7737955232463619
2015-02-22,0.5663607756796295
2015-02-23,0.7719555902340183
2015-02-24,0.9217254028377181
2015-02-25,0.8716162954341292
2015-02-26,0.6786200544799094
2015-02-27,3.0268421143236437
2015-02-28,5.020048231284652
2015-03-01,7.5228131035127195
2015-03-02,11.730853948618773
2015-03-03,15.905844559287035
2015-03-04,17.701992200925538
2015-03-05,19.52922259183952
2015-03-06,20.357862928080586
2015-03-07,21.478600737882523
2015-03-08,22.02189087356685
2015-03-09,24.392388948407678
2015-03-10,26.556989426973356
2015-03-11,28.86698615232561
2015-03-12,30.306027417428943
2015-03-13,29.47700187652736
2015-03-14,28.037809819873907
2015-03-15,27.435305024446297
2015-03-16,27.48436023081265
2015-03-17,26.361602172260767
2015-03-18,19.069740325605203
2015-03-19,14.223372331298638
2015-03-20,10.609345505668768
2015-03-21,7.435453867775135
2015-03-22,6.164115402197417
2015-03-23,4.927357034983962
2015-03-24,0.2238081881819664
2015-03-25,-3.315545810884872
2015-03-26,-5.709179812867981
2015-03-27,-7.873587218542666
2015-03-28,-8.553878792937626
2015-03-29,-10.68793485453675
2015-03-30,-11.465002093764957
2015-03-31,-12.598096292071533
2015-04-01,-12.907247890029788
2015-04-02,-12.000838060126174
2015-04-03,-10.994661405180864
2015-04-04,-10.268356645524861
2015-04-05,-8.226185514396422
2015-04-06,-7.458516493384384
2015-04-07,-7.249773561158597
2015-04-08,-8.580290798604914
2015-04-09,-9.909791487030013
2015-04-10,-12.382678715967709
2015-04-11,-14.279568607792418
2015-04-12,-15.916553604126237
2015-04-13,-19.32601134856829
2015-04-14,-22.988663775359612
2015-04-15,-24.674237538414026
2015-04-16,-24.742598033283482
2015-04-17,-25.724002155259484
2015-04-18,-26.38064282097803
2015-04-19,-27.040368763664944
2015-04-20,-26.997051392643385
2015-04-21,-23.867642345992977
2015-04-22,-21.544826962148584
2015-04-23,-19.00329720365442
2015-04-24,-17.939487784914345
2015-04-25,-18.041134336758066
2015-04-26,-19.490709922876565
2015-04-27,-17.833250346391083
2015-04-28,-17.20980409747899
2015-04-29,-16.72614337659262
2015-04-30,-13.512252532064245
2015-05-01,-11.82682657492909
