Date,TSI_13_25_13
2017-12-31,28.76758964172345
2018-01-01,28.0604943615768
2018-01-02,30.19247211801429
2018-01-03,33.5408500307856
2018-01-04,36.42857059528319
2018-01-05,38.974106423887534
2018-01-06,41.77113569646665
2018-01-07,45.829943731808385
2018-01-08,48.69594290282049
2018-01-09,53.01666337958607
2018-01-10,54.34833431658612
2018-01-11,51.267986637879716
2018-01-12,50.47551903135184
2018-01-13,51.33821903157539
2018-01-14,50.950452915209986
2018-01-15,48.218572736049694
2018-01-16,39.10781470372298
2018-01-17,31.605861176533008
2018-01-18,26.384560614847675
2018-01-19,22.457152929454523
2018-01-20,21.085889017543195
2018-01-21,17.77253694306107
2018-01-22,14.295431217169149
2018-01-23,11.258151628145768
2018-01-24,9.994418822499917
2018-01-25,8.939952964618913
2018-01-26,8.069686838307694
2018-01-27,8.219529968777252
2018-01-28,10.633405195434111
2018-01-29,11.270944599277861
2018-01-30,9.571120638932841
2018-01-31,9.00139119681581
2018-02-01,7.0003099070216726
2018-02-02,3.2237626759499998
2018-02-03,1.1098952428469802
2018-02-04,-2.704283559751167
2018-02-05,-7.75823180611866
2018-02-06,-9.926415263992157
2018-02-07,-12.086085945805648
2018-02-08,-12.697299662432618
2018-02-09,-12.024113330459574
2018-02-10,-11.813030872903958
2018-02-11,-12.272275194128362
2018-02-12,-11.689876611252139
2018-02-13,-11.548328823726097
2018-02-14,-10.035549062551679
2018-02-15,-8.568168595985998
2018-02-16,-7.230304459480156
2018-02-17,-5.573182044179397
2018-02-18,-5.025814227122065
2018-02-19,-4.196374064082423
2018-02-20,-4.358418490664405
2018-02-21,-5.305377245868567
2018-02-22,-6.7599329583786005
2018-02-23,-6.8896897666545645
2018-02-24,-7.435295796583264
2018-02-25,-7.794236492963108
2018-02-26,-7.538483020507535
2018-02-27,-7.114051335879096
2018-02-28,-7.2370900932699165
2018-03-01,-6.917279687594178
2018-03-02,-6.990153101105608
2018-03-03,-7.042361467704145
2018-03-04,-6.822601741396744
2018-03-05,-6.963741979541689
2018-03-06,-8.050892997845388
2018-03-07,-10.66650156814624
2018-03-08,-14.07743235137477
2018-03-09,-16.03289046888769
2018-03-10,-18.685352815787137
