Date,RSI_14
2017-11-26,89.51896030624548
2017-11-27,89.98951815732613
2017-11-28,86.53438351409758
2017-11-29,69.13034411372229
2017-11-30,71.77006332012039
2017-12-01,74.13215852277852
2017-12-02,73.08427642000726
2017-12-03,73.39920962458856
2017-12-04,73.99234741384231
2017-12-05,71.26931673945202
2017-12-06,59.46005147078236
2017-12-07,60.63835639056075
2017-12-08,64.73897277589322
2017-12-09,67.66967914956722
2017-12-10,58.194383277654595
2017-12-11,68.9946967732913
2017-12-12,79.55488019339293
2017-12-13,82.03658950344385
2017-12-14,80.60979268465582
2017-12-15,78.21396034981721
2017-12-16,78.9122629709915
2017-12-17,80.28728223738365
2017-12-18,83.8503028367424
2017-12-19,85.10013365304935
2017-12-20,83.42827867565897
2017-12-21,83.51738547775837
2017-12-22,58.476029724573664
2017-12-23,62.19390624062344
2017-12-24,58.97085812347741
2017-12-25,64.584657522857
2017-12-26,65.15774454093065
2017-12-27,63.634178198515855
2017-12-28,60.081134373959465
2017-12-29,61.564288655063336
2017-12-30,56.59809319757275
2017-12-31,60.34115975527865
2018-01-01,61.77192813253498
2018-01-02,69.97140679701965
2018-01-03,74.15160907471035
2018-01-04,75.0223513820251
2018-01-05,75.83149890243818
2018-01-06,77.85344092088118
2018-01-07,81.97264298534502
2018-01-08,81.29494132362382
2018-01-09,85.50158584754655
2018-01-10,79.88214014220377
2018-01-11,68.71060942430904
2018-01-12,73.40587298651523
2018-01-13,77.23819177480297
2018-01-14,74.45774880575765
2018-01-15,67.82041533059426
2018-01-16,51.94802222683228
2018-01-17,49.86726313577696
2018-01-18,51.04676246437815
2018-01-19,51.20501912455432
2018-01-20,57.31998702400388
2018-01-21,51.052207446908724
2018-01-22,48.5440457765574
2018-01-23,47.61771416246521
2018-01-24,51.83425877236982
2018-01-25,51.66449763009693
2018-01-26,51.60757594839369
2018-01-27,54.8411911275563
2018-01-28,62.13556583660681
2018-01-29,57.54947429858211
2018-01-30,50.53063667211146
2018-01-31,53.141211514810685
2018-02-01,48.38958544599008
2018-02-02,42.33804958779536
2018-02-03,45.275881697043076
2018-02-04,39.46894390881104
2018-02-05,34.44004406050407
2018-02-06,40.15565860314028
2018-02-07,38.77646234221167
2018-02-08,42.367699198358864
2018-02-09,46.07260623765727
2018-02-10,44.967478853637935
2018-02-11,42.8097707923059
2018-02-12,46.09981722688364
2018-02-13,44.89312372045967
2018-02-14,49.63415693303965
2018-02-15,50.42113410638574
2018-02-16,50.86696627025389
2018-02-17,52.75822102417261
2018-02-18,49.326221785117305
2018-02-19,50.69856068520215
2018-02-20,47.34133995606899
2018-02-21,44.37849542988179
2018-02-22,42.06030806744302
2018-02-23,46.24256539026474
2018-02-24,44.642458356885975
2018-02-25,45.01419212382062
2018-02-26,47.193027888342414
2018-02-27,48.003432919307585
2018-02-28,46.04232208571842
2018-03-01,47.73709095103442
2018-03-02,46.322655879065636
2018-03-03,46.364134792119884
2018-03-04,47.47503037878634
2018-03-05,46.062739796262264
2018-03-06,42.23751330104365
2018-03-07,36.534186963284625
2018-03-08,32.93173758328794
2018-03-09,36.340136236041396
2018-03-10,33.200251272161225
2018-03-11,38.18850311575691
2018-03-12,36.305459226355325
2018-03-13,35.58175973674068
2018-03-14,30.09092440355341
2018-03-15,29.89701764217208
2018-03-16,29.24222436628807
2018-03-17,26.117579718975826
2018-03-18,25.276580199405803
2018-03-19,28.450564702104025
2018-03-20,28.531739442314834
2018-03-21,29.40716165274776
2018-03-22,27.644259593288346
2018-03-23,27.637536642642736
2018-03-24,26.534107159085963
2018-03-25,26.34912447231304
2018-03-26,23.53047239722135
2018-03-27,20.75634779389067
2018-03-28,20.505575476018343
2018-03-29,17.023977805488403
2018-03-30,19.150842848832493
2018-03-31,19.61422847874903
2018-04-01,18.549536919929572
2018-04-02,20.431600868999062
2018-04-03,28.394307062440177
2018-04-04,25.15937674209604
2018-04-05,25.832535408766915
2018-04-06,24.681433436287033
2018-04-07,28.65565418578709
2018-04-08,32.53159716537661
2018-04-09,32.28519961690602
2018-04-10,36.399033673212685
2018-04-11,40.439607826621646
2018-04-12,52.80355818724076
2018-04-13,52.764612846337286
2018-04-14,54.304852292491034
2018-04-15,59.25147332081407
2018-04-16,54.89884062561777
2018-04-17,53.208734846608984
2018-04-18,56.99160946975185
2018-04-19,63.284171094839515
2018-04-20,68.7485819292158
2018-04-21,66.44987795098349
2018-04-22,68.27209597552198
2018-04-23,70.44424883078861
2018-04-24,76.04537259906049
2018-04-25,59.01919173192765
2018-04-26,63.514755525363775
2018-04-27,61.11137979895149
2018-04-28,64.47400890921102
2018-04-29,64.93757379665531
2018-04-30,61.774750397427894
2018-05-01,62.160974280298774
2018-05-02,63.613744754257965
2018-05-03,71.62255934225392
2018-05-04,72.05846880305222
2018-05-05,74.1989577097819
2018-05-06,69.70906679453125
2018-05-07,63.050241478867456
2018-05-08,62.904676650719956
2018-05-09,62.799986684863384
2018-05-10,58.31086852968516
2018-05-11,50.84373692224868
2018-05-12,51.74542537148413
2018-05-13,57.85807273579735
2018-05-14,57.37196586329477
2018-05-15,53.79171485441449
2018-05-16,53.489750875278396
2018-05-17,48.00819532396585
2018-05-18,51.39426266954921
2018-05-19,51.731557699304766
2018-05-20,54.68127789183952
2018-05-21,51.7615356224429
2018-05-22,43.74209655484108
2018-05-23,36.21251388943657
2018-05-24,39.394409189077464
2018-05-25,37.719300758641374
2018-05-26,37.82279924592899
2018-05-27,36.09416433240679
2018-05-28,30.311878470708276
2018-05-29,39.41982348751596
2018-05-30,38.778599189908505
