Date,ROC_14
2017-11-26,53.074945213341174
2017-11-27,51.66742647986753
2017-11-28,40.06474263092872
2017-11-29,28.24779932996453
2017-11-30,35.11078046252738
2017-12-01,40.35752515301026
2017-12-02,33.32364964385579
2017-12-03,31.453560638258416
2017-12-04,28.215307145942848
2017-12-05,28.545982035160876
2017-12-06,12.593130731626134
2017-12-07,5.910291415315672
2017-12-08,-3.9754826825862066
2017-12-09,1.549728698132169
2017-12-10,-6.2820061987696185
2017-12-11,7.240681205259647
2017-12-12,37.75180036875629
2017-12-13,64.38110056345272
2017-12-14,55.62383580309789
2017-12-15,46.70724585166288
2017-12-16,50.22342835756006
2017-12-17,54.54982164684883
2017-12-18,69.00005170096276
2017-12-19,78.4711627050819
2017-12-20,91.11267094630573
2017-12-21,89.00734031158126
2017-12-22,47.9855483773838
2017-12-23,51.929031499325376
2017-12-24,57.14625236932358
2017-12-25,48.66637253332948
2017-12-26,18.79016555290589
2017-12-27,8.548345115945954
2017-12-28,5.922116226652507
2017-12-29,10.102152713141543
2017-12-30,3.023235189967055
2017-12-31,5.105454526241759
2018-01-01,-2.7690388093038143
2018-01-02,6.968960967387106
2018-01-03,17.535884165442805
2018-01-04,19.46976192282095
2018-01-05,47.84103268472797
2018-01-06,44.80106246675919
2018-01-07,66.12740040845179
2018-01-08,49.97114949132371
2018-01-09,67.96065208643776
2018-01-10,64.62386430280095
2018-01-11,56.70203485234468
2018-01-12,68.95083610098929
2018-01-13,94.68893395381328
2018-01-14,80.61457242887859
2018-01-15,67.20832301790212
2018-01-16,19.13586125755373
2018-01-17,5.352545968946143
2018-01-18,5.643469324707162
2018-01-19,4.147456821829998
2018-01-20,10.892977125200876
2018-01-21,-8.983071363931472
2018-01-22,-12.648343128344974
2018-01-23,-24.121054088672
2018-01-24,-15.690140742516922
2018-01-25,-8.563291314263433
2018-01-26,-17.124561372214508
2018-01-27,-20.720849664343543
2018-01-28,-8.835430118667652
2018-01-29,-8.480405541258085
2018-01-30,1.6551419275625312
2018-01-31,10.259803697313274
2018-02-01,0.04921546162499624
2018-02-02,-11.867482037166354
2018-02-03,-16.545992990430825
2018-02-04,-20.474662056141636
2018-02-05,-30.431694471705296
2018-02-06,-19.580340287781684
2018-02-07,-28.49619635203754
2018-02-08,-22.558356813544744
2018-02-09,-16.234829160862716
2018-02-10,-22.279980491855945
2018-02-11,-34.61850495085509
2018-02-12,-26.527708902462564
2018-02-13,-21.087263725751004
2018-02-14,-17.414587612146292
2018-02-15,-9.627216914262803
2018-02-16,3.1038999151605573
2018-02-17,1.0472831125227788
2018-02-18,10.6913786629643
2018-02-19,35.23370621658366
2018-02-20,12.8919588461452
2018-02-21,12.271422891867001
2018-02-22,-0.6067490199432868
2018-02-23,-2.2261277709393124
2018-02-24,-2.3128331687410353
2018-02-25,3.7009336409363547
2018-02-26,0.06999276177097613
2018-02-27,3.904963828345731
2018-02-28,-7.402001700431315
2018-03-01,-6.91330408689984
2018-03-02,-9.251860599293671
2018-03-03,-11.999611462708327
2018-03-04,-6.195663990634559
2018-03-05,-9.554435216417968
2018-03-06,-8.758378979478476
2018-03-07,-11.428626751466798
2018-03-08,-13.317295039277543
2018-03-09,-15.653173776821372
2018-03-10,-18.277484311211268
2018-03-11,-14.378500406904527
2018-03-12,-19.49627092711784
2018-03-13,-21.34184850799279
2018-03-14,-28.169813814381616
2018-03-15,-29.91240454144821
2018-03-16,-29.781888253748324
2018-03-17,-35.51529557860199
2018-03-18,-37.84958253796822
2018-03-19,-34.78547105194091
2018-03-20,-31.798235695629963
2018-03-21,-25.384050407467683
2018-03-22,-23.40262790702613
2018-03-23,-25.96965807374987
2018-03-24,-23.359051011973154
2018-03-25,-27.51849478972298
2018-03-26,-29.990098580858227
2018-03-27,-34.84389289077986
2018-03-28,-27.350558550249094
2018-03-29,-36.861532576615694
2018-03-30,-34.407964135371735
2018-03-31,-28.27929303796698
2018-04-01,-29.525436524787906
2018-04-02,-30.589737325602563
2018-04-03,-25.177365463504987
2018-04-04,-32.255416749049516
2018-04-05,-28.99192952075372
2018-04-06,-31.38029036000305
2018-04-07,-26.807478934891883
2018-04-08,-23.609014541495775
2018-04-09,-18.660027237948906
2018-04-10,-7.96972030300892
2018-04-11,-3.5267138454054825
2018-04-12,27.715516986645827
2018-04-13,24.85524933397796
2018-04-14,26.489883073095232
2018-04-15,40.06644582510916
2018-04-16,32.275866952993226
2018-04-17,20.62903574023749
2018-04-18,37.905309617849504
2018-04-19,48.18412460577564
2018-04-20,66.28219110920297
2018-04-21,57.1173193436693
2018-04-22,55.26780768691568
2018-04-23,61.231129810273075
2018-04-24,70.95231571692106
2018-04-25,42.94049406219062
2018-04-26,34.46010933438062
2018-04-27,31.31439855036884
2018-04-28,36.332597459904136
2018-04-29,29.561473779300584
2018-04-30,31.062885445500687
2018-05-01,33.947304984017194
2018-05-02,30.93814574821854
2018-05-03,37.27032247009083
2018-05-04,27.594775535706372
2018-05-05,34.80784744479728
2018-05-06,27.409866064947085
2018-05-07,17.302521601289776
2018-05-08,6.312005758262829
2018-05-09,22.238454060643107
2018-05-10,9.726475494062402
2018-05-11,5.0312840641005385
2018-05-12,0.34665369849509187
2018-05-13,6.476444005644577
2018-05-14,9.049533828397148
2018-05-15,5.234162235022022
2018-05-16,2.8961697356034932
2018-05-17,-13.711372417761192
2018-05-18,-11.61586411926715
2018-05-19,-14.653478254751008
2018-05-20,-9.711080311251619
2018-05-21,-7.231150981521928
2018-05-22,-13.962275398663193
2018-05-23,-22.423980142666554
