Date,STOCHd_14_3_3
2014-10-06,-45.37978637648637
2014-10-07,-46.205894819389584
2014-10-08,-39.16499617833283
2014-10-09,-25.201203965253672
2014-10-10,-9.757234488207779
2014-10-11,7.076127752708299
2014-10-12,20.329179644130086
2014-10-13,32.48046203322557
2014-10-14,44.38663938811788
2014-10-15,58.78789379685676
2014-10-16,68.93897603038675
2014-10-17,70.71818485809325
2014-10-18,65.73880853124798
2014-10-19,63.513270663139984
2014-10-20,64.67716121383661
2014-10-21,66.76877071659537
2014-10-22,62.902078686586016
2014-10-23,47.9416696481966
2014-10-24,24.137064240891394
2014-10-25,-5.692527665202547
2014-10-26,-25.47910749547384
2014-10-27,-34.5456380239899
2014-10-28,-31.27114501993319
2014-10-29,-30.818292971688447
2014-10-30,-33.42477115585015
2014-10-31,-39.76413344205458
2014-11-01,-39.726524342238
2014-11-02,-34.954146667683396
2014-11-03,-27.119418314828522
2014-11-04,-18.707052915073977
2014-11-05,-10.759775782652284
2014-11-06,-0.6675081432286584
2014-11-07,11.591725701619765
2014-11-08,26.081898199887945
2014-11-09,37.70856368778146
2014-11-10,46.984466627640735
2014-11-11,56.65754902962717
2014-11-12,64.5876491474334
2014-11-13,69.21198024144643
2014-11-14,65.54075962789744
2014-11-15,62.585452805940996
2014-11-16,56.232940141281496
2014-11-17,52.28308796951006
2014-11-18,46.88974185941898
2014-11-19,43.50009921509355
2014-11-20,37.006911886848506
2014-11-21,27.333205952514444
2014-11-22,13.859420816274637
2014-11-23,2.2949501013796056
2014-11-24,-3.08999067339945
2014-11-25,0.6537951019670848
2014-11-26,8.807562934997604
2014-11-27,16.457592218917004
2014-11-28,17.417126889026935
2014-11-29,20.058014371204603
2014-11-30,24.203551937445116
2014-12-01,39.98921052900584
2014-12-02,56.08606013055036
2014-12-03,71.27219671937924
2014-12-04,72.94179621135292
2014-12-05,61.56269889012367
2014-12-06,40.481536646199466
2014-12-07,18.151155082467096
2014-12-08,-14.30734070636314
2014-12-09,-50.20174050868829
2014-12-10,-81.54779842612525
2014-12-11,-80.77125977390283
2014-12-12,-59.0150312033617
2014-12-13,-35.948047335290404
2014-12-14,-23.460866137553243
2014-12-15,-22.220347175756416
2014-12-16,-25.580619461574248
2014-12-17,-33.69402291423126
2014-12-18,-41.88397351960854
2014-12-19,-41.13273229828827
2014-12-20,-33.80488946147846
2014-12-21,-20.82979419293476
2014-12-22,-9.353064757812943
2014-12-23,1.8481815502496257
2014-12-24,9.710398384242287
2014-12-25,13.510848449327304
2014-12-26,8.949810568823326
2014-12-27,0.656698890815834
2014-12-28,-9.078554970526415
2014-12-29,-18.230885323990208
2014-12-30,-25.55361612266559
2014-12-31,-29.79717101442088
2015-01-01,-26.507524429723592
2015-01-02,-19.786425860796818
2015-01-03,-29.94650233309989
2015-01-04,-50.464685614700834
2015-01-05,-75.25985241858852
2015-01-06,-65.9812557912562
2015-01-07,-42.19143111957303
2015-01-08,-13.002737353633627
2015-01-09,0.3359677595855546
2015-01-10,3.4383669194514552
2015-01-11,-1.328600779742299
2015-01-12,-10.145844230325205
2015-01-13,-25.93075156816362
2015-01-14,-40.17991740523332
2015-01-15,-56.33398877005609
2015-01-16,-56.27749398736864
2015-01-17,-49.24693402241541
2015-01-18,-34.69536654991466
2015-01-19,-24.424283754629972
2015-01-20,-16.88988628942379
2015-01-21,-10.524654265749993
2015-01-22,-4.228588976380759
2015-01-23,3.942131357591857
2015-01-24,13.567512555575727
2015-01-25,24.819822801360928
2015-01-26,38.06364046476952
2015-01-27,50.98866008676597
2015-01-28,55.99948203335041
2015-01-29,49.75693975692226
2015-01-30,35.66940481946568
2015-01-31,22.64682437894997
2015-02-01,13.397209820485854
2015-02-02,7.489660984568723
2015-02-03,3.1268253018677576
2015-02-04,-0.6779691261791511
2015-02-05,-8.69884666149268
2015-02-06,-18.446777767857707
2015-02-07,-26.138627045649613
2015-02-08,-26.67646951544546
2015-02-09,-22.898545926994725
2015-02-10,-21.97703961957458
2015-02-11,-23.2860453847312
2015-02-12,-27.055809872025705
2015-02-13,-24.33928216460446
2015-02-14,-14.388122995663522
2015-02-15,1.118375986660676
2015-02-16,15.238726861587113
2015-02-17,21.534953013018225
2015-02-18,24.612180640600627
2015-02-19,27.118852632490103
2015-02-20,32.81644275673475
2015-02-21,40.450051471553486
2015-02-22,45.48343762567321
2015-02-23,46.17957046888255
2015-02-24,41.288079832716555
2015-02-25,37.39049678704424
2015-02-26,30.36765964601334
2015-02-27,20.324688455790696
2015-02-28,13.51502624458377
2015-03-01,18.001074041530384
2015-03-02,34.45459017661156
2015-03-03,47.01675709390213
2015-03-04,57.18037853829596
2015-03-05,61.395287352189335
2015-03-06,66.2872949704988
2015-03-07,68.06618662623622
2015-03-08,71.0104052505256
2015-03-09,73.07379608797935
2015-03-10,77.1376394539924
2015-03-11,80.42829371534175
2015-03-12,86.43877735147963
2015-03-13,87.41344200652047
2015-03-14,83.37472756608418
2015-03-15,69.57292146426516
2015-03-16,54.91257247347579
2015-03-17,41.8930426417717
2015-03-18,17.31217920274855
2015-03-19,-14.059367566911389
2015-03-20,-49.01636962137146
2015-03-21,-50.66503513191086
2015-03-22,-37.58642595282621
2015-03-23,-17.13508805204138
2015-03-24,-14.711356411704235
2015-03-25,-19.10839939054104
2015-03-26,-26.119351508734066
2015-03-27,-24.596971047093636
2015-03-28,-18.27956714482785
2015-03-29,-12.047039445113418
2015-03-30,-12.596433667879305
2015-03-31,-18.5368439504358
2015-04-01,-24.623128882702645
2015-04-02,-26.828426593019472
2015-04-03,-20.344395401036262
2015-04-04,-7.217362335512196
2015-04-05,7.717038667658021
2015-04-06,20.454463634967905
2015-04-07,29.815252666525993
2015-04-08,30.09536133785822
2015-04-09,15.609566796419152
2015-04-10,-12.05719389317509
2015-04-11,-34.3451058996578
2015-04-12,-42.393836951060756
2015-04-13,-39.12881050682268
2015-04-14,-35.735490587572265
2015-04-15,-34.95077559659372
2015-04-16,-27.291032734571854
2015-04-17,-17.63356825975228
2015-04-18,-7.792906906405384
2015-04-19,-5.5301304243414044
2015-04-20,-5.526080973640834
2015-04-21,-5.056005514486045
2015-04-22,1.8638755934367943
2015-04-23,17.799647831666352
2015-04-24,37.679799795685334
2015-04-25,48.45137871874738
2015-04-26,34.27407695433269
2015-04-27,4.572777602413763
2015-04-28,-24.807180862264346
2015-04-29,-31.051252920343572
2015-04-30,-21.123775347222775
2015-05-01,-0.5473568394353864
2015-05-02,20.35036742820412
2015-05-03,41.031206333919066
2015-05-04,55.83731243064661
2015-05-05,60.90065437245707
2015-05-06,56.21081794916162
2015-05-07,41.97078333474743
2015-05-08,31.975020300179235
2015-05-09,32.66105489780322
2015-05-10,47.448468637235244
2015-05-11,62.36172120380272
2015-05-12,71.12021913235087
2015-05-13,64.69764424979765
2015-05-14,45.82647570468911
2015-05-15,19.50075996748368
2015-05-16,1.099225895052147
2015-05-17,-5.25924631109612
2015-05-18,-11.899366184674136
2015-05-19,-18.664880511768768
2015-05-20,-29.020992890979915
2015-05-21,-26.300723860175804
2015-05-22,-18.71671336426487
2015-05-23,-0.21524874302645358
2015-05-24,19.486129432701627
2015-05-25,37.962617908754574
2015-05-26,43.71463895885705
2015-05-27,40.3276606030112
2015-05-28,34.35120367232212
2015-05-29,32.22125414648798
2015-05-30,24.80804915964458
2015-05-31,7.839375171489333
2015-06-01,-24.300388844725514
2015-06-02,-48.46249098628774
2015-06-03,-59.73369315264079
2015-06-04,-45.176431800932725
2015-06-05,-30.01561975004206
2015-06-06,-17.384701680343788
2015-06-07,-16.584883054567932
2015-06-08,-17.441713326521036
2015-06-09,-16.14325062160124
2015-06-10,-8.64166737576212
2015-06-11,5.243898565117877
2015-06-12,19.187113160202678
2015-06-13,31.663624050883225
2015-06-14,44.374519360950366
2015-06-15,56.421130171818184
2015-06-16,63.62843581049105
2015-06-17,65.12229421520591
2015-06-18,64.56090586973134
2015-06-19,68.59527583387715
2015-06-20,69.72580903508413
2015-06-21,68.7542318737025
2015-06-22,63.79190088901948
2015-06-23,62.03199293850795
2015-06-24,61.03433379855998
2015-06-25,58.49172761840575
2015-06-26,53.8102687074358
2015-06-27,50.226376654875274
2015-06-28,51.6893723944488
2015-06-29,53.58324120416052
2015-06-30,56.714793939992404
2015-07-01,55.84819472311188
2015-07-02,57.97852794171595
2015-07-03,57.323296782762576
2015-07-04,56.88621141370603
2015-07-05,54.531082475251445
2015-07-06,57.25821170269876
2015-07-07,63.11231570662708
2015-07-08,71.27170568749864
2015-07-09,75.49519913914604
2015-07-10,74.92830345735736
2015-07-11,72.53834734078565
2015-07-12,68.48738107531297
2015-07-13,66.12077572941247
2015-07-14,60.90144246906717
2015-07-15,56.09626952514484
2015-07-16,50.964031791513634
2015-07-17,44.571767479610315
2015-07-18,34.57880174378657
2015-07-19,22.35554678515192
2015-07-20,11.932592220716506
2015-07-21,6.705551211682668
2015-07-22,5.161415733928282
2015-07-23,5.102108794617521
2015-07-24,3.9014107492697243
2015-07-25,5.111830933221028
2015-07-26,14.607587493615931
2015-07-27,32.54555343504094
2015-07-28,55.06659653260249
2015-07-29,69.64784998928788
2015-07-30,75.97294416668598
2015-07-31,68.48041712746146
2015-08-01,54.765287162501856
2015-08-02,35.33827388029221
2015-08-03,20.2223867482033
2015-08-04,12.336909752086328
2015-08-05,13.388446016758905
2015-08-06,11.881489437639017
2015-08-07,3.9151782930525694
2015-08-08,-23.468877258631437
2015-08-09,-45.58184668078338
2015-08-10,-60.74648505364325
2015-08-11,-45.58745662500676
2015-08-12,-29.064179386439843
2015-08-13,-14.141605223678399
2015-08-14,-13.866655054411908
2015-08-15,-17.48281586370471
2015-08-16,-21.549153873144434
2015-08-17,-23.00543252142674
2015-08-18,-41.32738428651177
2015-08-19,-60.2241920036754
2015-08-20,-81.6109910598771
2015-08-21,-63.78634020709159
2015-08-22,-44.722791314903496
2015-08-23,-23.774765768963814
2015-08-24,-26.21994849899174
2015-08-25,-32.25874615929274
2015-08-26,-38.57679903461005
2015-08-27,-37.87169510471043
2015-08-28,-27.867933168647458
2015-08-29,-16.16313749417206
2015-08-30,-7.649580051121533
2015-08-31,-3.6540774498649298
2015-09-01,-1.418766226517507
2015-09-02,0.31359109945066316
2015-09-03,1.959015418394859
2015-09-04,4.224410635509919
2015-09-05,10.072925759225948
2015-09-06,21.06215544776529
2015-09-07,39.705165625067416
2015-09-08,58.75515607897645
2015-09-09,71.49336198010143
2015-09-10,70.36470445632109
2015-09-11,63.759533146909455
2015-09-12,54.481529821281974
2015-09-13,45.3562076718049
2015-09-14,29.274408127963152
2015-09-15,12.007836246175279
