Date,STOCHd_14_3_3
2017-11-28,84.68820998592396
2017-11-29,86.38887038472065
2017-11-30,78.71079278805293
2017-12-01,67.76221838735147
2017-12-02,61.08122436343348
2017-12-03,62.658430540977484
2017-12-04,69.22589703656057
2017-12-05,73.84899741963208
2017-12-06,66.0858884732957
2017-12-07,40.66242230204245
2017-12-08,1.383286461840818
2017-12-09,-23.30983522480848
2017-12-10,-27.67292279632404
2017-12-11,-12.964232422081244
2017-12-12,-4.473876511834619
2017-12-13,9.746878711259042
2017-12-14,28.73629210796263
2017-12-15,52.92459679372107
2017-12-16,70.60292366653876
2017-12-17,79.08980022034571
2017-12-18,83.43460170503221
2017-12-19,83.99011126102461
2017-12-20,82.79164286359047
2017-12-21,83.69988255865319
2017-12-22,77.18165473495323
2017-12-23,69.18341276524727
2017-12-24,52.37345865182707
2017-12-25,43.74766531299634
2017-12-26,36.66818136187075
2017-12-27,36.1601821734983
2017-12-28,32.77953251783277
2017-12-29,26.111096784235695
2017-12-30,12.017316135391084
2017-12-31,-1.2796958257720898
2018-01-01,-9.270218302442128
2018-01-02,-2.54057808629956
2018-01-03,13.76483292341212
2018-01-04,36.55738619799721
2018-01-05,58.020751346796565
2018-01-06,74.20058407782176
2018-01-07,81.33170340142306
2018-01-08,80.32472739545854
2018-01-09,75.10007802277464
2018-01-10,73.02312563897225
2018-01-11,73.56003523353779
2018-01-12,75.08499064793877
2018-01-13,74.32207731512688
2018-01-14,74.4482970384884
2018-01-15,76.30641159816857
2018-01-16,67.36008077381892
2018-01-17,39.58869383356478
2018-01-18,-1.1437164433147895
2018-01-19,-29.641694632360554
2018-01-20,-33.95848302733966
2018-01-21,-25.9468431441209
2018-01-22,-22.492556443443174
2018-01-23,-27.163405308439007
2018-01-24,-31.632143183555954
2018-01-25,-26.19384797055166
2018-01-26,-17.071225434752275
2018-01-27,-6.412448031655672
2018-01-28,1.497303203635271
2018-01-29,15.198640532228646
2018-01-30,27.750939911793072
2018-01-31,33.88441953258444
2018-02-01,22.766293477965153
2018-02-02,-4.535216095346549
2018-02-03,-35.60772030603918
2018-02-04,-62.15215754459805
2018-02-05,-66.50657693751826
2018-02-06,-63.16888325631127
2018-02-07,-50.395957922603664
2018-02-08,-39.75346697838121
2018-02-09,-24.6331348377857
2018-02-10,-11.761638216995507
2018-02-11,-3.1711582046043314
2018-02-12,1.0353395881227658
2018-02-13,3.115601715435678
2018-02-14,6.877271664257843
2018-02-15,16.59950242528595
2018-02-16,32.854919534489646
2018-02-17,53.47545733058515
2018-02-18,67.05916673103356
2018-02-19,73.48578917952445
2018-02-20,68.19634726394536
2018-02-21,54.37514580282258
2018-02-22,27.476656349195753
2018-02-23,-4.882101135142588
2018-02-24,-31.239447639605903
2018-02-25,-41.64087156463365
2018-02-26,-36.43272710043349
2018-02-27,-23.309848961416062
2018-02-28,-9.832473124075321
2018-03-01,-0.7197490806795518
2018-03-02,1.8216796574794254
2018-03-03,1.4263715776532866
2018-03-04,-1.3139899835212834
2018-03-05,-2.541519762518043
2018-03-06,-23.207861846822976
2018-03-07,-61.737375376297535
2018-03-08,-108.7811099307669
2018-03-09,-123.38063146645186
2018-03-10,-101.21374462526477
2018-03-11,-66.99465767099528
2018-03-12,-43.23163013512093
2018-03-13,-35.64715387961406
2018-03-14,-34.345615444471
2018-03-15,-34.101135989714585
2018-03-16,-34.396556587959246
2018-03-17,-27.575020615752667
2018-03-18,-23.82797752834213
2018-03-19,-20.685295053740536
2018-03-20,-21.1693145016084
2018-03-21,-16.840934623036887
2018-03-22,-13.057478506291853
2018-03-23,-10.226669408598669
2018-03-24,-11.505300593818992
2018-03-25,-11.93265617611406
2018-03-26,-14.373852199141803
2018-03-27,-18.88400214651961
2018-03-28,-24.086799262646853
2018-03-29,-28.241332001584443
2018-03-30,-28.788117070453527
2018-03-31,-28.67341773523634
2018-04-01,-25.29428681644991
2018-04-02,-20.79541945165324
2018-04-03,-16.222853633434646
2018-04-04,-12.902403264539148
2018-04-05,-11.568676822764587
2018-04-06,-11.362977090505296
2018-04-07,-11.853671699069126
2018-04-08,-10.855180405937231
2018-04-09,-6.829689342486627
2018-04-10,-0.31356744042597057
2018-04-11,11.490479451856134
2018-04-12,23.32509023807866
2018-04-13,40.83234320695035
2018-04-14,54.865530794555696
2018-04-15,72.10588457238522
2018-04-16,79.55003804617267
2018-04-17,82.87921390238431
2018-04-18,80.61808011139448
2018-04-19,79.35315458151155
2018-04-20,78.48038496776776
2018-04-21,77.83075293544526
2018-04-22,78.71408736982666
2018-04-23,81.86562451420559
2018-04-24,84.12731842812796
2018-04-25,81.11880222352968
2018-04-26,71.55293673400037
2018-04-27,61.77032694670507
2018-04-28,57.918105406091534
2018-04-29,62.61173526446108
2018-04-30,69.1822311888471
2018-05-01,73.31392786503766
2018-05-02,72.71841640368159
2018-05-03,67.15210202069795
2018-05-04,64.88614090423242
2018-05-05,64.85389718421729
2018-05-06,71.84800682508394
2018-05-07,69.9797030854815
2018-05-08,62.53230945301009
2018-05-09,48.289534571513435
2018-05-10,40.86636595444156
2018-05-11,32.73810939342284
2018-05-12,21.948300329388257
2018-05-13,6.449771713441425
2018-05-14,-1.9354099667911895
2018-05-15,-0.4856746289297795
2018-05-16,4.1275942640650465
2018-05-17,3.016459145693855
2018-05-18,-5.05430908465666
2018-05-19,-11.981449626497579
2018-05-20,-12.984247807425483
2018-05-21,-7.811803883476768
2018-05-22,-11.062569216592061
2018-05-23,-27.453506156497834
2018-05-24,-51.551065084904735
2018-05-25,-62.04407637181679
