time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr,ETH_Trends,RSI_14,ROC_14,MFI_14,TSI_13_25_13,TSIs_13_25_13
2017-04-24,eth,37171.0,1.88801393,4560660952.542342,19.5474898376402,32.45038972,50.1052582127411,91021603.62448001,80531.0,140542563.33846682,17.549592933736,9.0,59.84447390492794,13.909917287458404,68.14806857546388,15.927474511864554,17.476665581451147
2017-04-25,eth,35038.0,1.88818676,4579471672.664563,20.3645408825991,39.34687806,50.2949234336645,91052363.93698001,93033.0,116387167.13195653,17.625691002264603,9.0,60.22903221967079,14.544043314158795,68.31861984856705,16.450980293804093,17.330139111787286
2017-04-26,eth,43652.0,1.97627098,4873492539.246667,20.161345541238198,23.19164833,53.5068268007014,91081696.12448001,89642.0,210139981.00598797,17.7367409224481,14.0,66.14237238595042,15.423787780624812,69.30429500768693,18.625268771648468,17.51515763462459
2017-04-27,eth,50941.0,2.29803694,5774978887.450788,20.490946255875002,21.19403307,63.3839737416715,91111026.12448001,104494.0,272481356.7968496,17.8961590838079,20.0,77.3133434570415,26.988156992517126,73.22251949278996,25.322135899892174,18.63044024394853
2017-04-28,eth,43952.0,2.5515924,6679674801.628693,21.666918514555203,19.50423134,73.2896960841613,91140708.15573001,106193.0,342473111.93890387,18.0508554957523,24.0,83.27371380756286,55.57216665056593,86.37339321573015,34.311670785256865,20.870616035564
2017-04-29,eth,40604.0,2.40883975,6425505497.682858,22.3021008010296,20.62400126,70.4783451390999,91169925.81198001,91335.0,311554747.1779066,18.1984441730222,18.0,77.08386782480366,43.47189431497755,87.7607196569507,38.450249618733594,23.381992261731092
2017-04-30,eth,43238.0,2.56007159,7341910512.681492,21.7400415498388,22.36802736,80.5040275862069,91199294.40573001,95202.0,328232364.6932956,18.3462036741959,24.0,82.17290892191521,67.10008324292968,89.77065608546417,44.337827268176056,26.37568297693751
2017-05-01,eth,50352.0,2.3561582000000003,7149193510.837925,21.8843107712746,11.51186082,78.3656599269433,91228651.90573001,112202.0,621028487.3509362,18.61933618513,31.0,78.18477313940161,63.77671809534478,93.73491263790399,46.904563766487854,29.308380232587556
2017-05-02,eth,48989.0,2.27180685,7086903074.550765,21.8071153240935,19.25104797,77.6578077147867,91258088.31198001,110354.0,368130768.08436215,18.8210989554734,21.0,76.85505795304934,55.65418659989627,83.14220331273641,48.269149745472575,32.01706159157113
2017-05-03,eth,42085.0,2.33560581,7408453135.504441,22.2026837363691,22.04362043,81.155050748685,91287640.96823001,97334.0,336081505.19834435,19.054596804876198,22.0,78.77566469880634,68.83771374037872,86.65202198472102,50.0527472572876,34.593588115244906
