Date,STOCHk_14_3_3,STOCHd_14_3_3
2014-10-04,-37.50934399097333,-25.445139008252784
2014-10-05,-48.04722568418086,-35.98025323773179
2014-10-06,-50.58278945430493,-45.37978637648637
2014-10-07,-39.98766931968297,-46.205894819389584
2014-10-08,-26.924529761010586,-39.16499617833283
2014-10-09,-8.691412815067466,-25.201203965253672
2014-10-10,6.344239111454711,-9.757234488207779
2014-10-11,23.575556961737647,7.076127752708299
2014-10-12,31.067742859197896,20.329179644130086
2014-10-13,42.798086278741174,32.48046203322557
2014-10-14,59.294089026414554,44.38663938811788
2014-10-15,74.27150608541453,58.78789379685676
2014-10-16,73.2513329793312,68.93897603038675
2014-10-17,64.63171550953403,70.71818485809325
2014-10-18,59.33337710487874,65.73880853124798
2014-10-19,66.57471937500719,63.513270663139984
2014-10-20,68.12338716162394,64.67716121383661
2014-10-21,65.608205613155,66.76877071659537
2014-10-22,54.97464328497915,62.902078686586016
2014-10-23,23.242160046455677,47.9416696481966
2014-10-24,-5.805610608760613,24.137064240891394
2014-10-25,-34.51413243330268,-5.692527665202547
2014-10-26,-36.11757944435819,-25.47910749547384
2014-10-27,-33.005202194308794,-34.5456380239899
2014-10-28,-24.69065342113255,-31.27114501993319
2014-10-29,-34.759023299623955,-30.818292971688447
2014-10-30,-40.824636746793914,-33.42477115585015
2014-10-31,-43.708740279745825,-39.76413344205458
2014-11-01,-34.64619600017422,-39.726524342238
2014-11-02,-26.507503723130096,-34.954146667683396
2014-11-03,-20.204555221181216,-27.119418314828522
2014-11-04,-9.409099800910584,-18.707052915073977
2014-11-05,-2.665672325865024,-10.759775782652284
2014-11-06,10.07224769708966,-0.6675081432286584
2014-11-07,27.36860173363469,11.591725701619765
2014-11-08,40.804845168939515,26.081898199887945
2014-11-09,44.95224416077019,37.70856368778146
2014-11-10,55.196310553212534,46.984466627640735
2014-11-11,69.82409237489883,56.65754902962717
2014-11-12,68.74254451418886,64.5876491474334
2014-11-13,69.0693038352516,69.21198024144643
2014-11-14,58.8104305342519,65.54075962789744
2014-11-15,59.876624048319506,62.585452805940996
2014-11-16,50.01176584127313,56.232940141281496
2014-11-17,46.9608740189376,52.28308796951006
2014-11-18,43.696585718046265,46.88974185941898
2014-11-19,39.84283790829684,43.50009921509355
2014-11-20,27.481312034202457,37.006911886848506
2014-11-21,14.675467915044079,27.333205952514444
2014-11-22,-0.578517500422573,13.859420816274637
2014-11-23,-7.21210011048264,2.2949501013796056
2014-11-24,-1.479354409293088,-3.08999067339945
2014-11-25,10.652839825677033,0.6537951019670848
2014-11-26,17.24920338860892,8.807562934997604
2014-11-27,21.470733442465118,16.457592218917004
2014-11-28,13.53144383600682,17.417126889026935
2014-11-29,25.171865835141926,20.058014371204603
2014-11-30,33.90734614118667,24.203551937445116
2014-12-01,60.88841961068899,39.98921052900584
2014-12-02,73.4624146397755,56.08606013055036
2014-12-03,79.46575590767331,71.27219671937924
2014-12-04,65.89721808661001,72.94179621135292
2014-12-05,39.32512267608776,61.56269889012367
2014-12-06,16.222269175900713,40.481536646199466
2014-12-07,-1.0939266045871079,18.151155082467096
2014-12-08,-58.050364690402944,-14.30734070636314
2014-12-09,-91.46093023107473,-50.20174050868829
2014-12-10,-95.132100356898,-81.54779842612525
2014-12-11,-55.72074873373568,-80.77125977390283
2014-12-12,-26.192244519451346,-59.0150312033617
2014-12-13,-25.931148752684106,-35.948047335290404
2014-12-14,-18.25920514052419,-23.460866137553243
2014-12-15,-22.470687634060862,-22.220347175756416
2014-12-16,-36.011965610137615,-25.580619461574248
2014-12-17,-42.59941549849523,-33.69402291423126
2014-12-18,-47.04053945019269,-41.88397351960854
2014-12-19,-33.75824194617682,-41.13273229828827
2014-12-20,-20.615886988065796,-33.80488946147846
2014-12-21,-8.115253644561596,-20.82979419293476
2014-12-22,0.6719463591886351,-9.353064757812943
