time,RSI_14
2016-01-15,84.96986960945192
2016-01-16,73.19959206596263
2016-01-17,77.42141463712218
2016-01-18,82.16174365498749
2016-01-19,70.53756714730217
2016-01-20,74.14238406617953
2016-01-21,75.37386321151806
2016-01-22,76.12372259716352
2016-01-23,85.70815808753385
2016-01-24,86.74568707141873
2016-01-25,90.38989074485424
2016-01-26,81.80988071408821
2016-01-27,82.0580810675172
2016-01-28,83.73232797790926
2016-01-29,80.45586915757448
2016-01-30,77.83677981649191
2016-01-31,67.81417642217262
2016-02-01,64.41812292828627
2016-02-02,70.34811665366644
2016-02-03,71.8584667223856
2016-02-04,72.22480649574986
2016-02-05,72.50216363149723
2016-02-06,71.67532486877725
2016-02-07,77.81506842660323
2016-02-08,81.37395066100937
2016-02-09,86.96701489413398
2016-02-10,89.32274704070008
2016-02-11,93.3296597442024
2016-02-12,84.18686561314706
2016-02-13,78.9665635911581
2016-02-14,77.66901721688684
2016-02-15,77.6001559647906
2016-02-16,61.13614333800855
2016-02-17,54.78932733213278
2016-02-18,60.26040668902589
2016-02-19,62.19963916974158
2016-02-20,58.87462127941243
2016-02-21,61.45936027449811
2016-02-22,68.90603365122205
2016-02-23,69.0139781710309
2016-02-24,72.91051265988216
2016-02-25,70.4353902422438
2016-02-26,67.44145496166743
2016-02-27,70.43527217081824
2016-02-28,71.64876821810758
2016-02-29,68.96527440170235
2016-03-01,75.953894804178
2016-03-02,79.99015454538977
2016-03-03,82.44054902894497
2016-03-04,84.31390532006145
2016-03-05,86.09260929971721
2016-03-06,86.58759346769425
2016-03-07,69.40517246279467
2016-03-08,70.63711237207745
2016-03-09,77.40473559234408
2016-03-10,71.73093309590008
2016-03-11,71.3613029372912
2016-03-12,77.63503911199284
2016-03-13,79.94784953797382
2016-03-14,65.8621883751228
2016-03-15,68.04656424286746
2016-03-16,65.93625270377804
2016-03-17,56.71572554366045
2016-03-18,55.67960687764907
2016-03-19,53.89078583581522
2016-03-20,52.51397283516409
2016-03-21,59.34461928650051
2016-03-22,56.39237344782237
2016-03-23,60.72450903283472
2016-03-24,54.2498340740912
2016-03-25,51.79059902512845
2016-03-26,53.33120441929559
2016-03-27,50.253858694098255
2016-03-28,55.907346016597494
2016-03-29,56.043402195360706
2016-03-30,56.835007432741094
2016-03-31,53.96757531977836
2016-04-01,55.24012530314377
2016-04-02,55.17965714648875
2016-04-03,55.07150403771458
2016-04-04,51.68195028581628
2016-04-05,47.228318478073774
2016-04-06,49.19650587315531
2016-04-07,45.20822377833332
2016-04-08,42.96492298012097
2016-04-09,39.574799688987376
2016-04-10,38.30120795949787
2016-04-11,37.337193724961985
2016-04-12,31.527822247049276
2016-04-13,36.41403433997343
2016-04-14,39.85993481537297
2016-04-15,38.51658309452392
2016-04-16,41.65448580897828
2016-04-17,47.70093639103225
2016-04-18,45.373251537719085
2016-04-19,43.80413249864997
2016-04-20,42.21283970610678
2016-04-21,39.936416856091824
2016-04-22,38.38971867158983
2016-04-23,43.27217825121162
2016-04-24,40.50637222090898
2016-04-25,37.40025452561977
2016-04-26,36.85653780227262
2016-04-27,40.69441706702042
2016-04-28,37.0672980603263
2016-04-29,39.188341990125224
2016-04-30,51.483572481262385
2016-05-01,51.1790218149589
2016-05-02,59.98878279843024
2016-05-03,54.20812324617954
2016-05-04,54.30726491979632
2016-05-05,56.95015290162835
2016-05-06,53.60087481977756
2016-05-07,53.70138988648174
2016-05-08,54.593643654786106
2016-05-09,53.15857884697564
2016-05-10,53.48555490807657
2016-05-11,58.13998603191746
2016-05-12,59.39359730995266
2016-05-13,63.33398738151153
2016-05-14,58.91075141407328
2016-05-15,56.05314480367617
2016-05-16,64.44170398269678
2016-05-17,70.22931304673403
2016-05-18,75.04732535367981
2016-05-19,78.61037982849085
2016-05-20,70.53517616086667
2016-05-21,71.83902714613647
2016-05-22,72.64754723788829
2016-05-23,64.53320715741879
2016-05-24,59.793214796075375
2016-05-25,57.98508987839542
2016-05-26,58.008530838575304
2016-05-27,48.31135789468872
2016-05-28,52.62157482199038
2016-05-29,55.65430594324352
2016-05-30,57.3830059924972
2016-05-31,64.24365383837707
2016-06-01,63.1730225006488
2016-06-02,62.457122802647156
2016-06-03,62.79063847432936
2016-06-04,61.23268595530832
2016-06-05,62.48845672893006
2016-06-06,62.85388440927652
2016-06-07,66.14261433286201
2016-06-08,65.76572689611481
2016-06-09,65.46563349823302
2016-06-10,59.169812731024216
2016-06-11,61.28970550645554
2016-06-12,70.41237792122735
2016-06-13,77.448573913803
2016-06-14,80.27973485631678
2016-06-15,77.06751801456427
2016-06-16,82.42148520272809
2016-06-17,52.44059841695301
2016-06-18,39.98331063122087
2016-06-19,43.62374643920213
2016-06-20,42.003424541858344
2016-06-21,46.63762391688198
2016-06-22,47.22442768896771
2016-06-23,49.18682405063421
2016-06-24,51.19034706026542
2016-06-25,51.058534114258904
2016-06-26,49.15408130354577
2016-06-27,50.033969775736075
2016-06-28,43.112645676582176
2016-06-29,45.38040956326844
2016-06-30,44.45025846437346
2016-07-01,43.76881611738453
2016-07-02,43.11710856472578
2016-07-03,41.88289816899838
2016-07-04,40.28709447571584
2016-07-05,36.803624117825564
2016-07-06,37.06027622501586
2016-07-07,35.311265966461896
2016-07-08,43.30353159645506
2016-07-09,41.530499469056316
2016-07-10,41.58614664123702
2016-07-11,39.71031453609005
2016-07-12,39.64617954846001
2016-07-13,39.09785341107785
2016-07-14,47.17587525574996
2016-07-15,50.16387152447482
2016-07-16,48.391575118487495
2016-07-17,45.48275248477108
2016-07-18,44.40013159868468
