time,ROC_14
2016-01-15,40.25783623333441
2016-01-16,27.558184822998122
2016-01-17,36.97499302411742
2016-01-18,54.341492817373684
2016-01-19,43.544090651434345
2016-01-20,53.328582115722114
2016-01-21,59.15038089995039
2016-01-22,54.314720812182735
2016-01-23,107.46774869470231
2016-01-24,110.13847849211001
2016-01-25,136.59591557904838
2016-01-26,102.18155366954518
2016-01-27,111.11715166954892
2016-01-28,118.40707757089328
2016-01-29,92.7068482133102
2016-01-30,101.41031036730786
2016-01-31,71.07397126097791
2016-02-01,47.81967383002528
2016-02-02,80.8163889364675
2016-02-03,73.68959250708191
2016-02-04,70.46720100539466
2016-02-05,68.71776315789472
2016-02-06,26.67508118238997
2016-02-07,37.91244332412078
2016-02-08,25.65596024360253
2016-02-09,63.55114304501617
2016-02-10,82.3039580853884
2016-02-11,130.5928908473715
2016-02-12,119.90375805732216
2016-02-13,113.82614709060954
2016-02-14,129.89739425134053
2016-02-15,137.736164773891
2016-02-16,74.22090861102294
2016-02-17,50.631631965219384
2016-02-18,71.24344570254932
2016-02-19,78.81156958969278
2016-02-20,70.67301163003899
2016-02-21,59.56919085437591
2016-02-22,75.69437120672869
2016-02-23,44.08551881750493
2016-02-24,42.410522432740485
2016-02-25,3.411717612959464
2016-02-26,7.406155098920997
2016-02-27,20.923300860660298
2016-02-28,26.047958195498477
2016-02-29,22.911656943955517
2016-03-01,76.57738202260262
2016-03-02,123.5327202523382
2016-03-03,112.62368946054093
2016-03-04,117.60750678029628
2016-03-05,147.12177824191195
2016-03-06,137.53003144807622
2016-03-07,69.42041142980464
2016-03-08,74.20607444693401
2016-03-09,89.5503047414827
2016-03-10,83.87922694617195
2016-03-11,89.30831274080693
2016-03-12,110.49309088990267
2016-03-13,120.6557348943499
2016-03-14,94.39275537988536
2016-03-15,73.28790832110805
2016-03-16,49.11535642381264
2016-03-17,19.01386572407442
2016-03-18,8.692934601634118
2016-03-19,-2.319533729528045
2016-03-20,-6.771735169484594
2016-03-21,24.880345730428722
2016-03-22,15.585621090136282
2016-03-23,4.976931570407084
2016-03-24,0.019432991093282226
2016-03-25,-4.196684704030195
2016-03-26,-17.17543754239199
2016-03-27,-27.57043066233268
2016-03-28,-5.316733485169333
2016-03-29,-10.37660997169314
2016-03-30,-6.585646267717793
2016-03-31,2.9878869823974696
2016-04-01,7.270261401849121
2016-04-02,10.70017787137585
2016-04-03,13.370036134862517
2016-04-04,-5.993520422044107
2016-04-05,-7.609449117268918
2016-04-06,-13.551976187857406
2016-04-07,-9.630397080193765
2016-04-08,-8.836427905731858
2016-04-09,-17.208499817567724
2016-04-10,-14.582636840605211
2016-04-11,-25.406285606562896
2016-04-12,-35.879922154651766
2016-04-13,-32.19914488313631
2016-04-14,-25.69889909211983
2016-04-15,-29.430201752028207
2016-04-16,-26.24713457391471
2016-04-17,-19.56320724645717
2016-04-18,-19.220423405962862
2016-04-19,-16.18267768973466
2016-04-20,-20.69164059958244
2016-04-21,-19.227483397202672
2016-04-22,-18.608829554059625
2016-04-23,-7.644812616702657
2016-04-24,-9.738379427669253
2016-04-25,-13.520104134863175
2016-04-26,-0.8342628449730438
2016-04-27,-3.1384220491696424
2016-04-28,-14.21291884023459
2016-04-29,-9.265263573421578
2016-04-30,2.835364826663156
2016-05-01,-5.983332137426212
2016-05-02,12.063576051208113
2016-05-03,7.030513805451477
2016-05-04,10.255942372934058
2016-05-05,19.820154594768557
2016-05-06,18.58412778068108
2016-05-07,11.614607949585952
2016-05-08,18.665497485824755
2016-05-09,24.414961081849327
2016-05-10,26.36594509146648
2016-05-11,27.448203840962893
2016-05-12,39.04861652088076
2016-05-13,42.31159083061782
2016-05-14,16.04358905356442
2016-05-15,13.678743457201481
2016-05-16,10.35545603079655
2016-05-17,30.158285392815465
2016-05-18,42.54484627679687
2016-05-19,48.40560356571484
2016-05-20,45.639068293843636
2016-05-21,49.176166595117806
2016-05-22,49.69761989052823
2016-05-23,42.568073577158394
2016-05-24,35.78965896374691
2016-05-25,26.08813357235862
2016-05-26,24.19387626854801
2016-05-27,5.70881240679515
2016-05-28,16.052449132289425
2016-05-29,24.05942317270293
2016-05-30,14.096254039568512
2016-05-31,15.268277110286398
2016-06-01,4.086721845144381
2016-06-02,-4.605582593851299
2016-06-03,1.7228013235107476
2016-06-04,-2.0201990591808716
2016-06-05,-2.055590961335596
2016-06-06,4.899421029093376
2016-06-07,13.980227685063262
2016-06-08,15.816245033849086
2016-06-09,15.584425063275798
2016-06-10,24.468519091239504
2016-06-11,19.836767140611265
2016-06-12,27.39580518341247
2016-06-13,39.36771510414179
2016-06-14,33.39387828521423
2016-06-15,32.31538246324257
2016-06-16,49.90564462884932
2016-06-17,11.259032129680936
2016-06-18,-17.957008568083012
2016-06-19,-11.5859708182537
2016-06-20,-16.42701685450301
2016-06-21,-10.220413911355186
2016-06-22,-8.808220654931187
2016-06-23,-4.703250484677534
2016-06-24,3.1193089566790233
2016-06-25,0.8389173552667994
2016-06-26,-12.192874652146557
2016-06-27,-20.3916135708059
2016-06-28,-34.953715871714564
2016-06-29,-30.94626966768026
2016-06-30,-39.90613925654163
2016-07-01,-20.56350986784109
2016-07-02,7.566171150499712
2016-07-03,-4.141832213404206
2016-07-04,-2.348244583044634
2016-07-05,-19.393945490042974
2016-07-06,-20.165397562608277
2016-07-07,-26.706039349253885
2016-07-08,-21.098224500288186
2016-07-09,-23.6670955355173
2016-07-10,-20.860047365560963
2016-07-11,-24.896250373659168
2016-07-12,-13.412283940145741
2016-07-13,-17.817789866766574
