Date,MFI_14
2015-08-07,
2015-08-08,
2015-08-09,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,
2015-08-14,
2015-08-15,
2015-08-16,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21,64.72700768986941
2015-08-22,64.18325375073866
2015-08-23,61.72756661037185
2015-08-24,60.54337483323429
2015-08-25,57.4008428982155
2015-08-26,53.625969868748236
2015-08-27,46.71319549344578
2015-08-28,32.92936842607888
2015-08-29,39.197330744006834
2015-08-30,51.81465048859643
2015-08-31,61.3451709546804
2015-09-01,67.7700576323894
2015-09-02,61.57045516553523
2015-09-03,50.61665250568084
2015-09-04,43.870522726648886
2015-09-05,49.56464045483388
2015-09-06,59.13030347223529
2015-09-07,61.50045039152755
2015-09-08,66.19718172079294
2015-09-09,70.28874078528276
2015-09-10,63.889551022899894
2015-09-11,52.05693796552704
2015-09-12,53.31606241105269
2015-09-13,44.36569486461263
2015-09-14,32.47784038563671
2015-09-15,30.103815406356365
2015-09-16,31.794630026310905
2015-09-17,32.11632378228373
2015-09-18,26.766426182203645
2015-09-19,24.903453449898826
2015-09-20,23.493135104760427
2015-09-21,24.058767912718913
2015-09-22,24.31177991562708
2015-09-23,26.998418590460744
2015-09-24,27.213132239949005
2015-09-25,31.851716705763828
2015-09-26,26.906958025536742
2015-09-27,28.120118108315985
2015-09-28,27.501008407304496
2015-09-29,26.517979476288055
2015-09-30,33.43514960280089
2015-10-01,35.34615687160194
2015-10-02,36.87662852844868
2015-10-03,34.48291192410815
2015-10-04,28.548902857458348
2015-10-05,29.82853961404323
2015-10-06,31.418080993332687
2015-10-07,28.109881697266715
2015-10-08,31.329929391427676
2015-10-09,40.89684485553105
2015-10-10,35.66387857358425
2015-10-11,38.05164669138295
2015-10-12,50.3931723291698
2015-10-13,35.13907906904413
2015-10-14,16.9555999437797
2015-10-15,27.070510282015164
2015-10-16,27.21292028862591
2015-10-17,28.977888987365176
2015-10-18,28.968629425465544
2015-10-19,29.324867720920224
2015-10-20,29.229179250161224
2015-10-21,27.631324106486026
2015-10-22,42.14216620253928
2015-10-23,46.49305848951472
2015-10-24,50.28111069480266
2015-10-25,56.913230496262955
2015-10-26,64.07173315752009
2015-10-27,76.242032683326
2015-10-28,89.24087025662554
2015-10-29,91.88237697425184
2015-10-30,72.36628994474185
2015-10-31,68.29139683172976
2015-11-01,70.09291379744546
2015-11-02,73.14022169082577
2015-11-03,65.12789321723996
2015-11-04,56.471050390827045
2015-11-05,57.813299586648895
2015-11-06,58.595546908121655
2015-11-07,55.92018864554521
2015-11-08,57.24236325415831
2015-11-09,59.82145436479862
2015-11-10,54.60307483902975
2015-11-11,46.59371196678052
2015-11-12,41.11710152062542
2015-11-13,49.91848979847232
2015-11-14,53.04688983373801
2015-11-15,52.36316418964323
2015-11-16,50.46603153946837
2015-11-17,61.36974766773587
2015-11-18,71.88677931455368
2015-11-19,66.47065917203915
2015-11-20,60.47574564237238
2015-11-21,66.70555811705393
2015-11-22,64.53452251611319
2015-11-23,52.440851485897575
2015-11-24,54.7310856078251
2015-11-25,58.450682204274706
2015-11-26,48.386801503517965
2015-11-27,47.49276398232104
2015-11-28,48.08650846719465
2015-11-29,43.03697707772214
2015-11-30,34.98184215265729
2015-12-01,21.95996177695944
2015-12-02,22.73530840001333
2015-12-03,22.704509082019754
2015-12-04,27.055650365718954
2015-12-05,24.296546687596088
2015-12-06,18.522148869693634
2015-12-07,18.506974346231253
2015-12-08,18.86049981091257
2015-12-09,19.001797111404578
2015-12-10,26.151090911487522
2015-12-11,30.5929517999241
2015-12-12,39.946942690359684
2015-12-13,40.73186762595735
2015-12-14,49.82105842334669
2015-12-15,58.42334638895188
2015-12-16,59.36174233935294
2015-12-17,57.86557781255176
2015-12-18,54.27891101540931
2015-12-19,50.53958774079668
2015-12-20,56.30987788521706
2015-12-21,55.74549676619532
2015-12-22,55.44631428793129
2015-12-23,57.10444557368621
2015-12-24,52.66786144358934
2015-12-25,48.55671208003302
2015-12-26,32.27582364211792
2015-12-27,33.02743253726603
2015-12-28,24.08232916430632
2015-12-29,17.363581793736184
2015-12-30,28.112385285233472
2015-12-31,41.183852606271216
2016-01-01,46.0954809402041
2016-01-02,52.07271207967082
2016-01-03,51.66660963797095
2016-01-04,53.619817448161314
2016-01-05,61.04380693480182
2016-01-06,60.999246354506035
2016-01-07,70.47578355464579
2016-01-08,72.70243334651407
2016-01-09,79.63147650280388
2016-01-10,83.46355766065116
2016-01-11,89.31673554605982
2016-01-12,93.07895178721587
2016-01-13,81.75781016665212
2016-01-14,82.21963508518662
2016-01-15,87.87858038000431
2016-01-16,89.84485836670444
2016-01-17,90.4625334352374
2016-01-18,94.12143993864241
2016-01-19,82.42590148743061
2016-01-20,85.66064039228445
2016-01-21,86.46851765367157
2016-01-22,80.41297202445591
2016-01-23,85.78990760739646
2016-01-24,89.9516969674553
2016-01-25,92.62259944855977
2016-01-26,67.53173223867554
2016-01-27,71.98394118830727
2016-01-28,74.1283942069197
2016-01-29,65.81619059684269
2016-01-30,67.08415016860933
2016-01-31,61.705217779706075
2016-02-01,57.432909432907486
2016-02-02,60.3088190273285
2016-02-03,61.42955413612141
2016-02-04,62.698523975097565
2016-02-05,61.369899693764616
2016-02-06,57.16993033513328
2016-02-07,57.07200094650027
2016-02-08,58.022326406650194
2016-02-09,78.35115265886692
2016-02-10,85.21011011240581
2016-02-11,89.38052740108915
2016-02-12,94.25564929475965
2016-02-13,77.73083733019286
2016-02-14,73.27666506517299
