time,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3
2010-08-18,82.57308917578438,77.10060651209074
2010-08-19,82.55321544775306,80.98937942351377
2010-08-20,68.96719005095737,78.03116489149825
2010-08-21,61.81461191693993,71.11167247188344
2010-08-22,46.3114839805973,59.03109531616485
2010-08-23,27.22430043078428,45.116798776107146
2010-08-24,8.590297559594886,27.375360656992132
2010-08-25,1.1914752455448046,12.335357745307968
2010-08-26,0.9820299698167463,3.5879342583187905
2010-08-27,7.885718064768565,3.3530744267100165
2010-08-28,12.612550023619818,7.1600993527350205
2010-08-29,12.612550023619818,11.03693937066938
2010-08-30,14.180926528785184,13.135342192008252
2010-08-31,9.45409456993393,12.08252370744629
2010-09-01,24.13530442243142,15.92344184038349
2010-09-02,39.36756213924272,24.31898704386934
2010-09-03,49.71520913294762,37.7393585648739
2010-09-04,56.26434552710109,48.44903893309712
2010-09-05,50.78680134813762,52.25545200272876
2010-09-06,59.29445231042724,55.44853306188863
2010-09-07,54.222884281642365,54.768045980069054
2010-09-08,49.30257984270329,54.27330547825761
2010-09-09,46.01066485705915,49.845376327134915
2010-09-10,44.49135270852366,46.60153246942868
2010-09-11,63.53618237301432,51.34606664619903
2010-09-12,66.0087552886785,58.01209679007215
2010-09-13,74.92309577970725,68.15601114713336
2010-09-14,59.52363580766441,66.81849562535004
2010-09-15,43.57743248974888,59.34138802570683
2010-09-16,40.309828951404974,47.80363241627273
2010-09-17,22.375955590114483,35.42107234375607
2010-09-18,33.00425131008357,31.896678617200973
2010-09-19,45.52793299402109,33.636046631406344
2010-09-20,71.50199618403646,50.01139349604701
2010-09-21,91.38771529395781,69.47254815733842
2010-09-22,81.77260730685514,81.55410626161644
2010-09-23,82.61718274971174,85.25916845017487
2010-09-24,77.48665870017854,80.62548291891511
2010-09-25,79.56251517502069,79.88878554163695
2010-09-26,77.70299912279977,78.25072433266631
2010-09-27,78.69930079711811,78.65493836497949
2010-09-28,76.67991754665356,77.69407248885712
2010-09-29,75.09376364461407,76.82432732946188
2010-09-30,69.79840852972717,73.85736324033157
2010-10-01,66.03720240645367,70.30979152693162
2010-10-02,42.664233727842124,59.49994822134096
2010-10-03,19.490043819954412,42.730493318083376
2010-10-04,7.52724288792312,23.22717347857319
2010-10-05,20.873525275264054,15.963603994380499
2010-10-06,54.20685860859739,27.535875590594827
2010-10-07,80.01294905400758,51.697777645956315
2010-10-08,99.99999999999999,78.07326922086828
2010-10-09,99.99999999999999,93.33764968466916
2010-10-10,99.99999999999999,99.99999999999996
2010-10-11,96.26016329763472,98.7533877658782
2010-10-12,92.3441872249499,96.20145017419485
2010-10-13,90.73019912825306,93.11151655027919
2010-10-14,88.56420937731535,90.5461985768394
2010-10-15,87.41222355865415,88.90221068807415
2010-10-16,78.44180433270675,84.80607908955871
2010-10-17,73.83953190090396,79.89785326408825
2010-10-18,68.41221887890947,73.56451837084002
2010-10-19,57.76912536409474,66.6736253813027
2010-10-20,36.62675238533102,54.26936554277838
2010-10-21,23.317864262994092,39.23791400413992
2010-10-22,11.212031767119726,23.71888280514824
2010-10-23,11.602640328649455,15.37751211958772
2010-10-24,13.897285770489804,12.237319288752957
2010-10-25,38.261946932249224,21.25395767712946
2010-10-26,64.30907258274473,38.82276842849455
2010-10-27,85.81859017658178,62.796536563858545
2010-10-28,78.52022627884054,76.21596301272231
2010-10-29,71.4624410728119,78.60041917607803
2010-10-30,60.76512134996225,70.2492629005382
2010-10-31,61.26359478125462,64.49705240134288
2010-11-01,58.28450023139456,60.104405454203764
2010-11-02,52.9493732360113,57.49915608288678
2010-11-03,51.882847277760696,54.372240248388806
2010-11-04,58.79686249929781,54.543027671023225
2010-11-05,70.55024262243063,60.409984133163
2010-11-06,87.38533121870402,72.24414544681078
2010-11-07,62.38760007156653,73.44105797090035
2010-11-08,33.33333333333327,61.03542154120123
2010-11-09,0.0,31.90697780163322
2010-11-10,1.2464095637830939,11.526580965705408
2010-11-11,1.666797617666511,0.971069060483155
2010-11-12,6.6257188111598575,3.1796419975364407
2010-11-13,11.065934100321599,6.452816843049276
2010-11-14,16.6282188044106,11.439957238630639
2010-11-15,15.993188651627667,14.562447185453243
2010-11-16,10.306563798682772,14.309323751573634
2010-11-17,6.249726745873644,10.849826398727982
2010-11-18,6.750471274134874,7.768920606230384
2010-11-19,12.524540229015964,8.508246083008112
2010-11-20,21.40347308641003,13.559494863186908
2010-11-21,40.17349810603361,24.700503807153154
2010-11-22,62.372414093188546,41.31646176187735
2010-11-23,77.88940857066596,60.145106923296
2010-11-24,80.5784264569339,73.61341637359611
2010-11-25,76.2317897224893,78.23320825002968
2010-11-26,76.54793817804155,77.78605145248821
2010-11-27,75.45547277308852,76.07840022453975
2010-11-28,67.33924196406531,73.11421763839843
2010-11-29,40.7013304684783,61.16534840187736
2010-11-30,15.510117398568147,41.18356327703724
2010-12-01,8.728016605699084,21.64648815758183
2010-12-02,28.359824095357936,17.532652699875047
2010-12-03,46.415775317158676,27.83453867273856
2010-12-04,39.69587735179844,38.157158921438345
2010-12-05,21.412182292519418,35.84127832049217
2010-12-06,5.27125280289831,22.12643748240539
2010-12-07,18.144421148001733,14.942618747806485
2010-12-08,33.86638534029969,19.094019763733243
2010-12-09,34.90757736519999,28.972794617833802
2010-12-10,24.865513918271187,31.213158874590288
2010-12-11,26.655149305585383,28.809413529685514
2010-12-12,43.2484983599446,31.589720527933718
2010-12-13,63.43520684422947,44.44628483658648
2010-12-14,77.9088281675708,61.53084445724829
2010-12-15,87.0867574483219,76.1435974867074
