time,RSI_14
2010-08-01,34.98715063232508
2010-08-02,34.491266808331304
2010-08-03,34.50230998012407
2010-08-04,33.02388753808115
2010-08-05,36.895930688412356
2010-08-06,37.551039184547015
2010-08-07,35.95389759944536
2010-08-08,37.97343334516924
2010-08-09,46.99235689104717
2010-08-10,46.18445205142236
2010-08-11,44.37394909074652
2010-08-12,47.23156421877906
2010-08-13,42.882173574562174
2010-08-14,45.34247367345644
2010-08-15,43.813157931562934
2010-08-16,44.225201876440515
2010-08-17,48.9717346242753
2010-08-18,47.05506602908509
2010-08-19,45.80028551737202
2010-08-20,44.617544600849115
2010-08-21,45.74909619428064
2010-08-22,45.228278735384656
2010-08-23,44.05967493949725
2010-08-24,44.196818031862165
2010-08-25,43.93902478554642
2010-08-26,42.96093510511
2010-08-27,44.653788444946066
2010-08-28,44.04495353270267
2010-08-29,43.09576651495404
2010-08-30,45.15359405223933
2010-08-31,37.64237032883015
2010-09-01,41.88397891791417
2010-09-02,44.63823734280015
2010-09-03,40.77890575657672
2010-09-04,43.518246226207445
2010-09-05,42.672815449567786
2010-09-06,42.58848337899899
2010-09-07,41.94417621027326
2010-09-08,41.4962142074866
2010-09-09,41.81796394166754
2010-09-10,41.59629645213524
2010-09-11,48.94745955895804
2010-09-12,44.08986410341331
2010-09-13,45.942242823425985
2010-09-14,45.48874773457507
2010-09-15,41.77270106106275
2010-09-16,46.23497140364542
2010-09-17,41.86018227248578
2010-09-18,44.81887530161269
2010-09-19,49.52402124453954
2010-09-20,47.9737248097165
2010-09-21,49.53287853266296
2010-09-22,47.39007195157129
2010-09-23,48.24279449472897
2010-09-24,48.396942641671195
2010-09-25,47.80327044560911
2010-09-26,47.73320698726592
2010-09-27,48.54713612622492
2010-09-28,47.371789017088865
2010-09-29,47.40001022714445
2010-09-30,47.35519586095644
2010-10-01,47.745259294565415
2010-10-02,44.941028132567325
2010-10-03,43.33864492650933
2010-10-04,44.79105763892988
2010-10-05,45.48270031930207
2010-10-06,53.80955226040736
2010-10-07,68.9745931372753
2010-10-08,87.45317594948983
2010-10-09,90.6611106968942
2010-10-10,91.49907830238071
2010-10-11,86.15913798830177
2010-10-12,85.90756421200143
2010-10-13,89.26998471573417
2010-10-14,83.12799752743662
2010-10-15,84.34255055526897
2010-10-16,76.44120929319612
2010-10-17,77.02078994187558
2010-10-18,77.26175962722066
2010-10-19,67.94795159618303
2010-10-20,69.14834126451971
2010-10-21,74.74778982339735
2010-10-22,67.34371158865935
2010-10-23,68.86164662652848
2010-10-24,75.17792506447906
2010-10-25,83.49374570108871
2010-10-26,85.98560864480753
2010-10-27,90.67061399527299
2010-10-28,79.31152217598047
2010-10-29,82.10601308478024
2010-10-30,83.20612943256123
2010-10-31,79.6642710632638
2010-11-01,80.0270760914307
2010-11-02,79.48031901176486
2010-11-03,78.91972175464139
2010-11-04,84.86203927220052
2010-11-05,87.89338403758225
2010-11-06,94.0225402728617
2010-11-07,76.17132757055421
2010-11-08,57.50475185882495
2010-11-09,53.7109375418498
2010-11-10,55.21841290275694
2010-11-11,54.219426686596194
2010-11-12,59.708606718993465
2010-11-13,60.58874172097476
2010-11-14,60.946802922342115
2010-11-15,58.94066086829765
2010-11-16,51.445522614111326
2010-11-17,53.905652734908614
2010-11-18,57.608696935752924
2010-11-19,58.821545600328285
2010-11-20,59.46094613625483
2010-11-21,58.171232277252685
2010-11-22,59.41928217248312
2010-11-23,58.94861374134132
2010-11-24,58.93775801909218
2010-11-25,58.180305520090414
2010-11-26,59.038757598737355
2010-11-27,58.62638635824816
2010-11-28,55.17530790440468
2010-11-29,45.14516229749774
2010-11-30,40.770881936924134
2010-12-01,45.66480747082215
2010-12-02,51.778740893050454
2010-12-03,50.895142677910655
2010-12-04,41.894427131351044
2010-12-05,41.52517901068966
2010-12-06,41.820481361926426
2010-12-07,48.9266308455777
2010-12-08,50.12619687605769
2010-12-09,42.3911480586222
2010-12-10,43.36326243598144
2010-12-11,48.92108758404819
2010-12-12,47.22700117955665
2010-12-13,49.03550531778839
2010-12-14,53.28056709311454
2010-12-15,51.656277644860516
2010-12-16,53.9091036098567
2010-12-17,51.99550669771848
2010-12-18,51.54879053795659
2010-12-19,51.29084914800587
2010-12-20,58.04781326627568
2010-12-21,50.83121227031321
2010-12-22,52.94185203106593
2010-12-23,52.93331658480634
2010-12-24,52.334041620105744
2010-12-25,52.88799404428042
2010-12-26,57.14035486491452
2010-12-27,57.07525553472234
2010-12-28,61.41812131450677
2010-12-29,65.78630069226227
2010-12-30,65.78630069226227
2010-12-31,65.78630069226227
2011-01-01,65.78630069226227
2011-01-02,65.77048622622667
2011-01-03,63.06570502313529
2011-01-04,64.32154000915601
2011-01-05,64.30145309741056
2011-01-06,63.71875263081282
2011-01-07,70.60608016274116
2011-01-08,71.37740537438192
2011-01-09,71.40526996761997
2011-01-10,72.44247139718819
2011-01-11,72.44247139718819
2011-01-12,66.38258150945558
2011-01-13,65.4743162197516
2011-01-14,82.83998078614067
2011-01-15,75.86241663078238
2011-01-16,75.98542442845351
2011-01-17,60.3512457609741
2011-01-18,49.59243348974621
2011-01-19,49.59243348974621
2011-01-20,64.89960016882125
2011-01-21,68.85541214164932
2011-01-22,71.20682409176734
2011-01-23,71.47926867342545
2011-01-24,65.16084811002705
2011-01-25,62.541263443164105
2011-01-26,63.35615216987578
2011-01-27,64.36019085348738
2011-01-28,67.96013608476581
2011-01-29,66.26245818516084
2011-01-30,71.58001838543254
2011-01-31,76.58182956250766
2011-02-01,86.38638966777336
2011-02-02,86.96407656711314
