Date,STOCHk_14_3_3,STOCHd_14_3_3
2017-11-26,76.29025612254603,68.78867281272785
2017-11-27,89.01011838033435,78.1374674799112
2017-11-28,88.76425545489154,84.68820998592396
2017-11-29,81.39223731893607,86.38887038472065
2017-11-30,65.97588559033119,78.71079278805293
2017-12-01,55.91853225278718,67.76221838735147
2017-12-02,61.34925524718207,61.08122436343348
2017-12-03,70.7075041229632,62.658430540977484
2017-12-04,75.6209317395364,69.22589703656057
2017-12-05,75.21855639639664,73.84899741963208
2017-12-06,47.41817728395403,66.0858884732957
2017-12-07,-0.6494667742233275,40.66242230204245
2017-12-08,-42.618851124208255,1.383286461840818
2017-12-09,-26.66118777599387,-23.30983522480848
2017-12-10,-13.73872948877,-27.67292279632404
2017-12-11,1.5072199985201336,-12.964232422081244
2017-12-12,-1.190120045253997,-4.473876511834619
2017-12-13,28.923536180510983,9.746878711259042
2017-12-14,58.475460188630905,28.73629210796263
2017-12-15,71.37479401202135,52.92459679372107
2017-12-16,81.95851679896403,70.60292366653876
2017-12-17,83.93608985005174,79.08980022034571
2017-12-18,84.40919846608087,83.43460170503221
2017-12-19,83.62504546694122,83.99011126102461
2017-12-20,80.34068465774932,82.79164286359047
2017-12-21,87.133917551269,83.69988255865319
2017-12-22,64.07036199584138,77.18165473495323
2017-12-23,56.34595874863143,69.18341276524727
2017-12-24,36.70405521100838,52.37345865182707
2017-12-25,38.19298197934919,43.74766531299634
2017-12-26,35.107506895254666,36.66818136187075
2017-12-27,35.18005764589102,36.1601821734983
2017-12-28,28.05103301235259,32.77953251783277
2017-12-29,15.102199694463442,26.111096784235695
2017-12-30,-7.101284300642811,12.017316135391084
2017-12-31,-11.840002871136932,-1.2796958257720898
2018-01-01,-8.869367735546671,-9.270218302442128
2018-01-02,13.087636347784894,-2.54057808629956
2018-01-03,37.07623015799811,13.76483292341212
2018-01-04,59.508292088208606,36.55738619799721
2018-01-05,77.47773179418296,58.020751346796565
2018-01-06,85.6157283510737,74.20058407782176
2018-01-07,80.90165005901248,81.33170340142306
2018-01-08,74.45680377628939,80.32472739545854
2018-01-09,69.94178023302197,75.10007802277464
2018-01-10,74.67079290760529,73.02312563897225
2018-01-11,76.06753255998605,73.56003523353779
2018-01-12,74.51664647622492,75.08499064793877
2018-01-13,72.38205290916962,74.32207731512688
2018-01-14,76.44619173007062,74.4482970384884
2018-01-15,80.09099015526546,76.30641159816857
2018-01-16,45.54306043612065,67.36008077381892
2018-01-17,-6.867969090691787,39.58869383356478
2018-01-18,-42.10624067537325,-1.1437164433147895
2018-01-19,-39.950874131016654,-29.641694632360554
2018-01-20,-19.818334275629102,-33.95848302733966
2018-01-21,-18.07132102571697,-25.9468431441209
2018-01-22,-29.58801402898348,-22.492556443443174
2018-01-23,-33.83088087061659,-27.163405308439007
2018-01-24,-31.47753465106781,-31.632143183555954
2018-01-25,-13.273128389970596,-26.19384797055166
2018-01-26,-6.463013263218433,-17.071225434752275
2018-01-27,0.4987975582219943,-6.412448031655672
2018-01-28,10.456125315902234,1.497303203635271
2018-01-29,34.64099872256169,15.198640532228646
2018-01-30,38.155695696915274,27.750939911793072
2018-01-31,28.856564178276347,33.88441953258444
2018-02-01,1.2866205587038333,22.766293477965153
2018-02-02,-43.748833023019834,-4.535216095346549
2018-02-03,-64.36094845380153,-35.60772030603918
2018-02-04,-78.34669115697277,-62.15215754459805
2018-02-05,-56.812091201780504,-66.50657693751826
